rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
7,0,4,0,SILVER_III,0,14,12610,22,0,44,0,IRON_IV,75,13,11348,81,0,40,0,SILVER_II,60,16,15562,110,0,79,0,GOLD_III,0,14,12804,121,0,146,0,SILVER_III,25,13,10405,4,0,8,0,GOLD_I,67,15,13110,91,0,76,0,GOLD_III,16,14,12669,91,0,76,0,GOLD_III,16,14,11466,38,0,60,0,PLATINUM_IV,42,13,10753,5,0,5,0,BRONZE_II,23,12,9546
184,0,168,0,BRONZE_II,84,18,18383,32,0,27,0,BRONZE_II,37,17,16641,446,0,465,0,BRONZE_III,15,18,19121,61,0,64,0,BRONZE_III,54,17,16580,92,0,104,0,SILVER_IV,0,17,18266,322,0,324,0,BRONZE_IV,81,17,17005,93,0,88,0,SILVER_IV,25,18,18549,143,0,147,0,SILVER_II,30,16,15688,3,0,10,0,BRONZE_IV,58,16,15385,267,0,264,0,BRONZE_II,56,15,14028
108,0,101,0,SILVER_III,35,15,13288,32,0,27,0,BRONZE_II,37,11,7882,38,0,39,0,BRONZE_IV,40,11,7992,73,0,75,0,SILVER_IV,7,11,8002,49,0,62,0,SILVER_IV,0,12,8910,50,0,60,0,BRONZE_I,32,14,12370,25,0,30,0,BRONZE_III,59,14,12764,19,0,17,0,BRONZE_II,36,15,13773,181,0,158,0,SILVER_III,11,13,11375,38,0,33,0,BRONZE_I,87,12,9497
366,0,335,0,GOLD_IV,46,18,18865,32,0,27,0,BRONZE_II,37,15,13479,68,0,76,0,SILVER_IV,37,16,15984,266,0,264,0,BRONZE_I,60,14,11993,279,0,269,0,SILVER_III,0,14,11773,524,0,546,0,SILVER_IV,48,15,13922,230,0,195,0,GOLD_IV,0,16,15585,372,0,353,0,GOLD_IV,25,18,19096,28,0,28,0,BRONZE_I,10,16,15015,122,0,137,0,BRONZE_I,26,14,12970
153,0,171,0,BRONZE_III,81,18,27310,32,0,27,0,BRONZE_II,37,18,21947,154,0,135,0,SILVER_IV,93,18,19131,391,0,346,0,GOLD_IV,15,18,26472,172,0,173,0,SILVER_IV,66,18,20018,411,0,414,0,SILVER_IV,25,18,20670,119,0,117,0,BRONZE_I,5,18,24890,68,0,63,0,SILVER_IV,0,18,20866,38,0,34,0,SILVER_II,18,18,22798,134,0,96,0,SILVER_III,29,18,20901
47,0,56,0,BRONZE_III,46,13,10566,32,0,27,0,BRONZE_II,37,13,10303,69,0,90,0,IRON_I,12,12,9167,23,0,27,0,BRONZE_III,15,12,9134,396,0,419,0,SILVER_IV,56,10,7135,353,0,346,0,BRONZE_I,53,14,12008,28,0,24,0,BRONZE_II,79,13,11122,416,0,402,0,SILVER_IV,29,14,11548,32,0,31,0,BRONZE_I,1,12,9301,339,0,360,0,BRONZE_II,2,12,9320
84,0,84,0,BRONZE_II,0,13,10828,304,0,286,0,BRONZE_II,25,16,15545,123,0,128,0,BRONZE_I,55,16,16091,85,0,80,0,BRONZE_IV,75,18,18561,192,0,188,0,SILVER_IV,5,15,13151,286,0,293,0,BRONZE_III,26,17,17371,185,0,131,0,SILVER_III,0,18,18630,29,0,42,0,BRONZE_II,0,16,15279,191,0,208,0,BRONZE_I,14,16,16120,154,0,208,0,BRONZE_II,59,15,14619
84,0,84,0,BRONZE_II,0,13,10333,101,0,109,0,BRONZE_II,81,16,15508,51,0,49,0,BRONZE_I,0,15,13583,387,0,347,0,SILVER_IV,23,15,14297,118,0,138,0,BRONZE_III,37,14,11541,73,0,78,0,SILVER_IV,85,15,13287,675,0,671,0,SILVER_IV,40,13,11092,245,0,226,0,BRONZE_I,60,14,12189,142,0,157,0,BRONZE_IV,0,14,12856,85,0,84,0,SILVER_IV,0,12,9917
84,0,84,0,BRONZE_II,0,16,14912,51,0,49,0,BRONZE_I,0,17,17615,114,0,88,0,SILVER_IV,49,16,15104,117,0,109,0,SILVER_IV,18,15,13159,173,0,177,0,BRONZE_II,72,14,12065,245,0,220,0,SILVER_IV,0,14,12380,111,0,107,0,BRONZE_III,69,13,10357,399,0,372,0,BRONZE_II,21,15,13057,280,0,273,0,SILVER_IV,13,13,11316,237,0,256,0,BRONZE_III,68,12,9150
84,0,84,0,BRONZE_II,0,17,18320,51,0,49,0,BRONZE_I,0,18,21184,217,0,210,0,BRONZE_II,44,17,16561,36,0,52,0,BRONZE_II,75,16,16182,257,0,225,0,SILVER_IV,0,15,13287,557,0,525,0,BRONZE_II,23,18,19897,70,0,86,0,BRONZE_III,45,18,18762,308,0,280,0,BRONZE_II,61,18,19001,131,0,157,0,BRONZE_I,0,18,20851,198,0,220,0,BRONZE_IV,44,17,18001
