rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
4,0,13,0,BRONZE_III,8,8,5016,5,0,7,0,BRONZE_III,18,7,3916,5,0,11,0,BRONZE_II,51,9,6023,3,0,8,0,BRONZE_II,42,8,4702,6,0,9,0,BRONZE_III,32,10,6372,13,0,10,0,BRONZE_I,97,13,10439,13,0,10,0,BRONZE_I,97,10,6416,13,0,10,0,BRONZE_I,97,12,9405,10,0,4,0,BRONZE_II,79,10,7135,13,0,20,0,BRONZE_I,22,8,4090
33,0,70,0,IRON_II,0,9,5348,32,0,34,0,SILVER_II,74,9,5255,32,0,34,0,SILVER_II,74,9,5218,32,0,34,0,SILVER_II,74,8,4356,32,0,34,0,SILVER_II,74,7,3439,13,0,10,0,BRONZE_I,97,9,5885,11,0,13,0,SILVER_IV,32,11,8095,13,0,10,0,BRONZE_I,97,11,7894,12,0,13,0,BRONZE_II,49,9,5478,13,0,4,0,GOLD_IV,29,9,5586
16,0,23,0,SILVER_IV,88,15,13504,132,0,135,0,SILVER_II,44,14,12796,15,0,17,0,SILVER_II,18,15,13026,53,0,64,0,SILVER_IV,26,11,8283,66,0,75,0,SILVER_II,47,12,9667,13,0,10,0,BRONZE_I,97,11,8043,18,0,11,0,SILVER_IV,40,12,9140,19,0,14,0,SILVER_III,75,14,12956,20,0,11,0,SILVER_II,30,13,10407,40,0,32,0,SILVER_I,34,11,7691
116,0,96,0,GOLD_III,37,12,9572,25,0,40,0,SILVER_IV,33,10,6735,10,0,8,0,SILVER_IV,29,12,9858,10,0,7,0,BRONZE_I,80,10,6279,93,0,74,0,GOLD_IV,12,10,6662,13,0,10,0,BRONZE_I,97,13,10548,12,0,8,0,SILVER_IV,8,15,13069,169,0,159,0,GOLD_IV,14,14,11607,14,0,11,0,SILVER_IV,25,12,9891,85,0,111,0,SILVER_IV,7,12,9073
10,0,16,0,GOLD_I,100,16,15578,16,0,17,0,BRONZE_I,45,14,12826,20,0,20,0,GOLD_II,66,15,13858,22,0,25,0,GOLD_IV,38,14,12171,17,0,20,0,GOLD_II,75,13,11097,20,0,21,0,BRONZE_III,33,14,12118,265,0,244,0,PLATINUM_IV,0,13,11291,140,0,122,0,DIAMOND_IV,12,14,12203,414,0,414,0,PLATINUM_IV,11,14,11811,405,0,384,0,PLATINUM_III,74,12,9307
17,0,20,0,GOLD_II,75,14,12900,16,0,17,0,BRONZE_I,45,11,8372,10,0,16,0,GOLD_I,100,13,10908,22,0,25,0,GOLD_IV,38,11,7615,20,0,20,0,GOLD_II,66,10,7274,20,0,20,0,GOLD_II,66,10,6750,26,0,31,0,SILVER_I,30,10,6455,26,0,31,0,SILVER_I,30,10,7071,26,0,31,0,SILVER_I,30,10,6223,26,0,31,0,SILVER_I,30,9,6028
17,0,20,0,GOLD_II,75,10,7196,16,0,17,0,BRONZE_I,45,8,4615,10,0,16,0,GOLD_I,100,9,5270,20,0,20,0,GOLD_II,66,8,4797,77,0,90,0,SILVER_IV,66,8,4581,136,0,150,0,DIAMOND_III,25,12,8689,112,0,114,0,PLATINUM_IV,58,9,6080,152,0,127,0,DIAMOND_II,29,11,8318,33,0,32,0,GOLD_IV,16,8,4986,5,0,16,0,GOLD_IV,18,8,4650
171,0,130,0,SILVER_III,0,14,12784,155,0,169,0,BRONZE_II,16,12,9518,50,0,51,0,SILVER_IV,78,12,9943,19,0,20,0,BRONZE_I,39,13,11134,19,0,20,0,BRONZE_I,39,12,9092,15,0,16,0,SILVER_IV,77,15,14441,15,0,16,0,SILVER_IV,77,14,11796,130,0,132,0,SILVER_IV,55,14,12677,218,0,233,0,IRON_III,32,13,10790,66,0,60,0,GOLD_IV,31,13,11169
171,0,130,0,SILVER_III,0,17,17090,155,0,169,0,BRONZE_II,16,17,16699,50,0,51,0,SILVER_IV,78,16,15941,19,0,20,0,BRONZE_I,39,15,13124,19,0,20,0,BRONZE_I,39,14,11879,22,0,20,0,GOLD_IV,8,18,18595,22,0,20,0,GOLD_IV,8,16,15189,93,0,124,0,BRONZE_IV,38,16,15650,251,0,245,0,PLATINUM_IV,4,15,14013,251,0,245,0,PLATINUM_IV,4,14,12583
155,0,169,0,BRONZE_II,16,15,14216,50,0,51,0,SILVER_IV,78,13,10750,50,0,51,0,SILVER_IV,78,12,9545,19,0,20,0,BRONZE_I,39,14,12733,50,0,51,0,SILVER_IV,78,10,6880,73,0,67,0,SILVER_IV,16,16,14751,256,0,239,0,SILVER_III,44,15,14221,256,0,239,0,SILVER_III,44,15,13837,34,0,35,0,SILVER_III,87,16,15417,401,0,386,0,SILVER_IV,32,13,11434
