rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
222,0,199,0,DIAMOND_IV,77,16,16083,135,0,124,0,DIAMOND_I,3,17,16951,94,0,55,0,DIAMOND_I,90,18,18997,257,0,231,0,DIAMOND_II,52,16,15704,68,0,51,0,DIAMOND_II,34,15,13294,40,0,23,0,DIAMOND_III,0,16,15520,145,0,120,0,MASTER_I,1,14,12791,237,0,193,0,DIAMOND_I,8,15,14640,263,0,209,0,DIAMOND_III,72,14,12669,232,0,245,0,DIAMOND_III,75,14,11914
461,0,448,0,DIAMOND_II,28,14,12781,107,0,81,0,DIAMOND_IV,37,11,7923,516,0,414,0,DIAMOND_IV,45,12,8614,198,0,180,0,DIAMOND_III,12,12,9925,193,0,176,0,DIAMOND_I,63,12,9146,40,0,23,0,DIAMOND_III,0,15,13304,355,0,356,0,DIAMOND_IV,45,15,13819,468,0,455,0,DIAMOND_II,23,15,13343,479,0,483,0,DIAMOND_II,77,13,11228,206,0,214,0,DIAMOND_IV,47,13,10102
156,0,139,0,DIAMOND_I,38,16,14964,606,0,574,0,DIAMOND_III,40,15,13859,119,0,107,0,DIAMOND_II,1,17,17062,87,0,83,0,DIAMOND_IV,76,14,12157,65,0,47,0,DIAMOND_II,21,13,10315,40,0,23,0,DIAMOND_III,0,17,16776,152,0,148,0,PLATINUM_I,70,14,12368,334,0,310,0,DIAMOND_III,43,16,15394,313,0,280,0,DIAMOND_II,59,16,15291,440,0,442,0,DIAMOND_III,0,15,13129
624,0,617,0,DIAMOND_III,24,14,12288,350,0,315,0,DIAMOND_III,77,16,16009,456,0,453,0,DIAMOND_III,38,15,14372,344,0,329,0,DIAMOND_II,10,15,13767,95,0,86,0,PLATINUM_I,50,13,10339,40,0,23,0,DIAMOND_III,0,15,13725,174,0,148,0,DIAMOND_III,32,13,9978,304,0,297,0,PLATINUM_III,48,13,11228,52,0,63,0,PLATINUM_I,35,13,10729,348,0,356,0,DIAMOND_III,54,12,9328
51,0,33,0,PLATINUM_II,82,16,15407,76,0,50,0,DIAMOND_II,12,14,11830,43,0,33,0,DIAMOND_IV,30,15,13514,378,0,354,0,DIAMOND_III,48,13,11147,199,0,176,0,DIAMOND_III,0,12,9346,40,0,23,0,DIAMOND_III,0,16,16458,195,0,162,0,PLATINUM_I,100,16,16130,301,0,261,0,DIAMOND_III,51,16,15146,42,0,25,0,DIAMOND_III,74,15,14147,51,0,28,0,PLATINUM_I,36,14,12265
153,0,154,0,DIAMOND_II,11,18,18654,80,0,65,0,DIAMOND_III,1,14,12376,190,0,174,0,DIAMOND_III,75,16,15309,153,0,122,0,DIAMOND_III,59,16,14704,377,0,346,0,DIAMOND_III,76,13,10398,93,0,79,0,DIAMOND_II,1,16,14875,251,0,237,0,DIAMOND_I,42,16,15995,166,0,162,0,DIAMOND_I,37,16,14890,405,0,365,0,DIAMOND_II,55,17,16536,254,0,252,0,DIAMOND_I,12,14,12176
245,0,212,0,DIAMOND_III,74,9,5661,386,0,367,0,DIAMOND_II,36,8,4471,146,0,144,0,DIAMOND_IV,7,9,6002,153,0,122,0,DIAMOND_III,59,8,4071,310,0,304,0,DIAMOND_II,13,7,3697,113,0,93,0,DIAMOND_II,52,12,9721,556,0,558,0,DIAMOND_II,92,10,7002,163,0,188,0,DIAMOND_II,15,12,8896,142,0,129,0,DIAMOND_III,67,11,7410,365,0,349,0,DIAMOND_I,0,10,6332
17,0,20,0,PLATINUM_I,100,17,17136,88,0,84,0,DIAMOND_IV,92,18,18634,202,0,176,0,DIAMOND_III,60,18,19510,153,0,122,0,DIAMOND_III,59,18,18569,58,0,62,0,DIAMOND_IV,24,15,13549,75,0,50,0,DIAMOND_IV,1,18,24819,57,0,28,0,DIAMOND_IV,1,18,24281,267,0,227,0,DIAMOND_II,54,18,21116,23,0,14,0,DIAMOND_III,12,18,21113,119,0,83,0,DIAMOND_III,20,18,20826
284,0,290,0,DIAMOND_III,27,14,12017,428,0,433,0,DIAMOND_II,40,15,13132,350,0,307,0,DIAMOND_II,0,14,12054,153,0,122,0,DIAMOND_III,59,15,14035,66,0,60,0,DIAMOND_III,0,13,10737,27,0,27,0,PLATINUM_I,100,17,18074,78,0,76,0,PLATINUM_I,83,16,14796,114,0,93,0,DIAMOND_III,37,17,16966,198,0,188,0,DIAMOND_III,68,15,13439,128,0,115,0,DIAMOND_II,1,15,13125
228,0,204,0,DIAMOND_I,20,14,12212,460,0,440,0,DIAMOND_II,80,14,12438,160,0,141,0,DIAMOND_I,15,14,12319,153,0,122,0,DIAMOND_III,59,13,11432,223,0,200,0,DIAMOND_II,67,12,9364,296,0,273,0,DIAMOND_II,75,12,9367,62,0,54,0,DIAMOND_III,0,12,8983,70,0,90,0,DIAMOND_III,49,13,10945,382,0,347,0,DIAMOND_III,1,12,8779,68,0,46,0,DIAMOND_III,21,10,7261
