rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
39,0,37,0,DIAMOND_I,23,18,22044,94,0,68,0,MASTER_I,0,18,19584,108,0,113,0,MASTER_I,86,18,19797,364,0,357,0,MASTER_I,125,16,15914,323,0,294,0,DIAMOND_I,66,15,13748,38,0,15,0,MASTER_I,1,17,17304,420,0,414,0,MASTER_I,261,18,19015,151,0,157,0,DIAMOND_I,100,17,17611,95,0,74,0,DIAMOND_IV,27,18,19942,23,0,21,0,DIAMOND_II,80,18,19096
46,0,57,0,DIAMOND_II,61,18,19563,34,0,13,0,PLATINUM_I,78,18,21247,114,0,85,0,DIAMOND_IV,0,16,16055,20,0,17,0,DIAMOND_IV,66,18,19781,23,0,21,0,DIAMOND_II,80,16,15414,28,0,20,0,DIAMOND_III,19,18,22951,29,0,19,0,DIAMOND_IV,65,18,21045,36,0,17,0,DIAMOND_II,1,18,21148,95,0,74,0,DIAMOND_IV,27,18,21570,38,0,15,0,MASTER_I,1,17,16966
63,0,41,0,DIAMOND_III,72,14,11929,103,0,81,0,DIAMOND_I,39,12,8812,437,0,447,0,DIAMOND_I,80,12,8706,76,0,41,0,DIAMOND_II,64,11,7491,52,0,20,0,PLATINUM_IV,9,11,7476,30,0,20,0,MASTER_I,1,14,12284,74,0,58,0,DIAMOND_I,0,15,13126,60,0,53,0,DIAMOND_IV,32,15,13226,95,0,74,0,DIAMOND_IV,27,12,8961,38,0,15,0,MASTER_I,1,11,7687
159,0,147,0,DIAMOND_II,59,13,10595,45,0,28,0,GOLD_II,35,12,9685,45,0,28,0,GOLD_II,35,12,8825,174,0,176,0,PLATINUM_II,44,12,8940,113,0,120,0,PLATINUM_I,40,11,7466,95,0,74,0,DIAMOND_IV,27,15,14268,43,0,32,0,PLATINUM_II,1,14,12723,38,0,15,0,MASTER_I,1,16,14885,95,0,74,0,DIAMOND_IV,27,14,12223,78,0,68,0,PLATINUM_I,100,13,11072
98,0,101,0,DIAMOND_II,59,13,10827,30,0,28,0,DIAMOND_II,60,16,16248,160,0,154,0,DIAMOND_II,16,16,15161,13,0,18,0,PLATINUM_I,5,13,11423,39,0,31,0,DIAMOND_IV,32,14,12081,10,0,17,0,PLATINUM_III,0,18,19545,38,0,15,0,MASTER_I,1,16,15185,72,0,53,0,DIAMOND_III,21,14,12953,95,0,74,0,DIAMOND_IV,27,17,16848,376,0,325,0,MASTER_I,1,14,11610
44,0,33,0,DIAMOND_IV,38,17,17220,216,0,190,0,DIAMOND_IV,24,14,12322,157,0,148,0,DIAMOND_IV,67,14,12384,163,0,149,0,PLATINUM_I,61,15,13611,38,0,42,0,DIAMOND_IV,38,13,10628,78,0,53,0,DIAMOND_IV,19,15,13293,451,0,443,0,DIAMOND_IV,47,15,14651,32,0,45,0,DIAMOND_IV,7,16,15200,160,0,153,0,DIAMOND_III,18,13,11160,324,0,296,0,DIAMOND_III,57,13,10960
184,0,164,0,PLATINUM_I,46,16,15404,188,0,149,0,DIAMOND_IV,0,14,11790,255,0,227,0,DIAMOND_II,0,14,12665,56,0,42,0,PLATINUM_I,63,15,13084,424,0,388,0,DIAMOND_III,4,13,11267,78,0,53,0,DIAMOND_IV,19,13,10710,288,0,308,0,DIAMOND_III,57,13,10068,166,0,162,0,DIAMOND_I,37,12,9752,315,0,293,0,DIAMOND_I,13,13,10266,62,0,49,0,DIAMOND_IV,0,11,7678
97,0,112,0,DIAMOND_II,13,15,14287,179,0,137,0,DIAMOND_II,75,15,14230,78,0,63,0,MASTER_I,14,14,12286,171,0,160,0,DIAMOND_II,0,15,13054,39,0,34,0,DIAMOND_III,64,13,11066,78,0,53,0,DIAMOND_IV,19,14,12617,374,0,374,0,DIAMOND_III,34,14,12482,206,0,213,0,DIAMOND_I,59,14,12260,195,0,178,0,DIAMOND_III,31,15,13736,71,0,101,0,DIAMOND_III,53,12,8883
406,0,381,0,DIAMOND_IV,18,18,24711,210,0,191,0,DIAMOND_III,29,18,22724,673,0,675,0,PLATINUM_I,72,18,25752,230,0,206,0,PLATINUM_II,90,18,18909,37,0,29,0,PLATINUM_I,29,17,18166,367,0,352,0,DIAMOND_IV,0,16,16431,109,0,90,0,DIAMOND_IV,48,17,17122,461,0,435,0,DIAMOND_IV,73,18,21836,453,0,361,0,DIAMOND_IV,67,15,14157,197,0,179,0,DIAMOND_IV,58,15,13184
406,0,381,0,DIAMOND_IV,18,15,14367,70,0,50,0,PLATINUM_I,71,17,18168,128,0,136,0,PLATINUM_II,3,15,14686,102,0,103,0,PLATINUM_II,75,16,15297,134,0,110,0,PLATINUM_I,63,15,14627,169,0,132,0,PLATINUM_I,80,17,17594,227,0,175,0,DIAMOND_IV,34,18,18403,80,0,55,0,PLATINUM_I,15,18,19536,491,0,464,0,DIAMOND_IV,21,16,16145,432,0,415,0,DIAMOND_IV,16,15,13311
