rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
226,0,226,0,GOLD_III,50,16,14749,70,0,63,0,GOLD_II,0,16,15912,241,0,260,0,GOLD_II,52,17,16860,33,0,39,0,GOLD_I,60,15,14185,22,0,22,0,SILVER_II,71,14,11940,41,0,29,0,GOLD_III,26,16,15292,125,0,117,0,GOLD_II,29,15,13063,135,0,135,0,GOLD_II,76,15,13811,40,0,38,0,GOLD_IV,34,13,10911,152,0,151,0,GOLD_II,50,12,9348
56,0,59,0,GOLD_II,0,13,11106,72,0,56,0,GOLD_II,12,13,10656,492,0,475,0,GOLD_II,0,13,10124,213,0,211,0,GOLD_III,28,12,9061,106,0,105,0,GOLD_III,15,12,8679,242,0,249,0,GOLD_III,9,15,14419,136,0,118,0,GOLD_I,18,13,10381,135,0,135,0,GOLD_II,76,14,12508,40,0,38,0,GOLD_IV,34,13,10751,159,0,182,0,GOLD_III,44,12,9735
40,0,30,0,GOLD_III,41,14,11598,433,0,391,0,GOLD_II,30,13,10450,166,0,175,0,GOLD_III,72,15,13396,70,0,69,0,GOLD_III,76,15,14205,106,0,105,0,GOLD_III,15,12,9775,144,0,143,0,GOLD_I,15,16,15318,316,0,297,0,GOLD_II,43,16,16292,135,0,135,0,GOLD_II,76,15,13229,40,0,38,0,GOLD_IV,34,14,12202,129,0,134,0,SILVER_I,15,13,10356
381,0,375,0,GOLD_I,9,13,11141,200,0,201,0,GOLD_III,26,10,6702,259,0,243,0,GOLD_I,44,15,13127,270,0,244,0,GOLD_IV,0,13,10469,44,0,45,0,GOLD_IV,75,11,8035,125,0,131,0,GOLD_III,54,15,14283,435,0,442,0,GOLD_II,55,17,16852,135,0,135,0,GOLD_II,76,14,12166,40,0,38,0,GOLD_IV,34,14,11727,202,0,184,0,GOLD_II,28,12,9054
187,0,168,0,GOLD_I,75,13,10335,73,0,73,0,GOLD_III,80,12,8900,136,0,111,0,GOLD_II,28,13,11219,59,0,46,0,GOLD_I,80,11,8532,121,0,106,0,GOLD_I,85,10,6262,216,0,159,0,GOLD_II,52,10,7244,61,0,54,0,GOLD_II,22,10,7189,135,0,135,0,GOLD_II,76,11,7753,59,0,70,0,GOLD_III,62,10,6654,201,0,216,0,GOLD_II,30,8,4689
79,0,38,0,GOLD_II,0,14,12528,14,0,18,0,BRONZE_IV,32,14,12853,222,0,201,0,SILVER_IV,54,13,11400,47,0,43,0,SILVER_II,66,13,11051,123,0,129,0,SILVER_II,15,13,11326,27,0,36,0,BRONZE_I,31,17,17112,236,0,219,0,PLATINUM_III,26,18,18955,16,0,21,0,BRONZE_II,0,16,16075,38,0,42,0,BRONZE_III,39,14,12182,224,0,199,0,PLATINUM_II,1,16,15817
123,0,107,0,GOLD_III,34,15,13379,167,0,141,0,GOLD_II,85,15,13246,207,0,195,0,GOLD_III,75,15,13051,247,0,230,0,GOLD_III,46,13,10925,78,0,65,0,GOLD_III,51,12,9363,200,0,198,0,GOLD_III,11,12,9645,82,0,81,0,GOLD_IV,75,13,11193,161,0,146,0,GOLD_II,49,13,11004,423,0,398,0,PLATINUM_III,58,12,9339,290,0,296,0,GOLD_III,15,10,6865
20,0,11,0,GOLD_IV,21,18,20075,85,0,95,0,GOLD_IV,17,17,17821,231,0,217,0,PLATINUM_III,40,18,18740,231,0,217,0,PLATINUM_III,40,17,16576,98,0,86,0,GOLD_IV,53,16,15564,156,0,150,0,PLATINUM_IV,98,17,17482,52,0,75,0,BRONZE_IV,11,15,13911,8,0,6,0,GOLD_II,32,17,17780,122,0,124,0,GOLD_IV,56,16,14998,17,0,21,0,GOLD_III,40,15,13166
201,0,179,0,PLATINUM_III,54,16,15775,222,0,211,0,PLATINUM_IV,11,17,17864,186,0,157,0,PLATINUM_I,0,17,17310,103,0,82,0,PLATINUM_III,3,15,13964,580,0,561,0,PLATINUM_IV,27,14,12600,145,0,138,0,GOLD_I,72,16,15908,27,0,23,0,GOLD_III,71,15,13802,8,0,6,0,GOLD_II,32,16,15914,60,0,64,0,GOLD_III,15,15,14687,246,0,232,0,PLATINUM_III,0,14,12454
267,0,261,0,PLATINUM_IV,60,15,13657,262,0,223,0,PLATINUM_IV,15,15,13337,41,0,21,0,GOLD_II,40,15,13452,44,0,45,0,GOLD_I,20,16,15010,193,0,181,0,PLATINUM_IV,75,13,10572,67,0,67,0,PLATINUM_IV,5,16,15574,130,0,122,0,GOLD_IV,50,14,12069,8,0,6,0,GOLD_II,32,16,15680,60,0,64,0,GOLD_III,15,16,15544,138,0,142,0,GOLD_I,77,13,11393
98,0,95,0,DIAMOND_III,0,16,15775,308,0,292,0,PLATINUM_II,0,14,12671,17,0,24,0,PLATINUM_II,23,14,11576,19,0,28,0,SILVER_III,49,15,13788,105,0,115,0,GOLD_II,15,14,11446,142,0,120,0,PLATINUM_IV,16,16,15227,60,0,64,0,GOLD_III,15,15,14667,8,0,6,0,GOLD_II,32,16,16405,396,0,369,0,CHALLENGER_I,839,14,12621,17,0,34,0,SILVER_I,59,13,10662
6,0,11,0,GOLD_II,70,16,15615,277,0,266,0,PLATINUM_IV,0,15,13583,21,0,17,0,GOLD_III,94,16,15720,18,0,19,0,SILVER_II,40,14,11524,15,0,10,0,GOLD_IV,1,14,11466,29,0,27,0,GOLD_I,0,18,22944,142,0,120,0,PLATINUM_IV,16,15,14638,8,0,6,0,GOLD_II,32,17,16594,60,0,64,0,GOLD_III,15,15,13538,99,0,94,0,PLATINUM_IV,0,15,13957
73,0,70,0,GOLD_III,56,16,15244,279,0,288,0,GOLD_II,0,17,17637,141,0,161,0,GOLD_III,44,17,18280,85,0,58,0,GOLD_II,55,16,15845,112,0,135,0,GOLD_III,15,15,13587,36,0,29,0,GOLD_III,44,17,17099,245,0,234,0,GOLD_II,36,17,17848,469,0,451,0,GOLD_I,15,17,16596,128,0,122,0,GOLD_II,40,15,13967,241,0,240,0,GOLD_III,27,14,11826
161,0,165,0,PLATINUM_IV,0,15,14108,165,0,155,0,GOLD_II,55,14,12787,345,0,339,0,GOLD_II,47,16,14703,206,0,232,0,GOLD_I,24,14,12287,158,0,173,0,GOLD_II,36,12,9894,353,0,356,0,GOLD_II,20,14,12371,245,0,234,0,GOLD_II,36,11,8150,122,0,144,0,GOLD_III,15,13,10094,177,0,171,0,GOLD_II,5,13,10597,63,0,50,0,GOLD_III,75,11,8244
293,0,286,0,GOLD_I,100,15,13776,291,0,258,0,GOLD_II,40,15,13773,169,0,155,0,GOLD_I,43,13,11127,52,0,50,0,GOLD_II,62,12,9953,50,0,54,0,GOLD_IV,60,11,8144,136,0,114,0,GOLD_II,87,14,11551,245,0,234,0,GOLD_II,36,11,7503,91,0,92,0,GOLD_II,91,13,11371,240,0,242,0,GOLD_II,45,12,8936,314,0,321,0,GOLD_III,15,9,5908
18,0,21,0,SILVER_I,0,15,13483,215,0,215,0,SILVER_III,40,13,10567,66,0,64,0,PLATINUM_IV,49,16,15473,10,0,11,0,GOLD_II,60,13,10680,94,0,82,0,SILVER_I,35,13,11301,68,0,70,0,GOLD_IV,13,17,18144,95,0,72,0,SILVER_I,21,13,10547,355,0,368,0,DIAMOND_II,75,16,14745,158,0,122,0,GOLD_IV,54,15,14292,158,0,122,0,GOLD_IV,54,15,13454
