ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
6,0,26,0,IRON_I,37,10,6919,60,0,59,0,BRONZE_II,10,10,7240,6,0,28,0,IRON_III,13,10,7283,36,0,38,0,IRON_I,0,9,5086,142,0,132,0,BRONZE_IV,0,9,5853,169,0,185,0,BRONZE_IV,0,13,10792,25,0,33,0,IRON_II,72,10,6314,34,0,52,0,IRON_I,40,12,9415,63,0,113,0,BRONZE_III,32,10,7219,167,0,161,0,IRON_III,68,10,6649
191,0,194,0,BRONZE_IV,0,10,6944,6,0,26,0,IRON_I,37,8,4822,6,0,28,0,IRON_III,13,10,6286,90,0,79,0,BRONZE_III,75,6,2476,142,0,140,0,IRON_II,51,9,5448,58,0,93,0,IRON_IV,70,11,7695,299,0,308,0,BRONZE_III,65,11,7969,54,0,75,0,BRONZE_IV,0,11,7975,169,0,155,0,BRONZE_II,61,10,6199,27,0,48,0,BRONZE_IV,0,9,5118
133,0,139,0,BRONZE_IV,76,15,13637,22,0,59,0,IRON_IV,33,11,7680,240,0,263,0,BRONZE_IV,0,14,12477,362,0,353,0,BRONZE_IV,81,13,10047,169,0,148,0,BRONZE_IV,68,12,9823,261,0,243,0,BRONZE_IV,83,14,12152,183,0,177,0,BRONZE_III,31,12,9510,412,0,389,0,SILVER_IV,15,12,9615,173,0,193,0,IRON_II,50,12,9890,32,0,55,0,IRON_III,1,11,8571
77,0,96,0,IRON_III,87,12,9565,191,0,225,0,IRON_IV,41,9,5993,128,0,107,0,BRONZE_IV,33,11,7782,13,0,29,0,IRON_II,40,9,5867,91,0,99,0,IRON_I,0,9,6064,219,0,162,0,GOLD_I,100,13,10515,61,0,58,0,IRON_II,0,12,8863,322,0,328,0,BRONZE_III,20,12,8938,553,0,549,0,BRONZE_IV,23,10,7279,32,0,55,0,IRON_III,1,10,6618
249,0,294,0,IRON_IV,59,17,17213,127,0,112,0,BRONZE_III,0,18,20127,222,0,230,0,IRON_I,0,17,16667,125,0,127,0,SILVER_IV,6,18,22947,68,0,90,0,IRON_III,42,16,15291,189,0,204,0,IRON_III,75,18,20361,64,0,83,0,BRONZE_IV,64,18,19676,167,0,156,0,BRONZE_II,75,18,24591,512,0,553,0,BRONZE_III,14,18,23873,32,0,55,0,IRON_III,1,18,20727
22,0,13,0,IRON_I,40,3,1025,35,0,46,0,BRONZE_III,38,3,840,209,0,217,0,BRONZE_III,9,3,1025,164,0,160,0,BRONZE_IV,30,2,488,180,0,182,0,BRONZE_II,17,2,488,11,0,22,0,BRONZE_IV,23,2,603,114,0,125,0,IRON_II,12,3,1070,221,0,228,0,BRONZE_III,28,1,0,128,0,140,0,BRONZE_III,54,3,664,32,0,55,0,IRON_III,1,3,803
36,0,48,0,IRON_III,89,13,10175,221,0,182,0,SILVER_II,36,13,10726,283,0,286,0,BRONZE_III,90,14,11814,120,0,109,0,IRON_I,1,11,7892,560,0,573,0,BRONZE_I,25,13,10130,129,0,127,0,BRONZE_III,17,13,10153,122,0,125,0,BRONZE_III,30,12,9406,5,0,10,0,IRON_II,28,13,10031,316,0,321,0,BRONZE_II,1,11,8436,32,0,55,0,IRON_III,1,12,8728
172,0,187,0,BRONZE_IV,0,12,9889,18,0,46,0,IRON_II,66,12,9740,249,0,261,0,BRONZE_IV,33,12,8956,133,0,163,0,BRONZE_I,43,13,10244,307,0,388,0,IRON_IV,55,12,8932,353,0,360,0,BRONZE_IV,22,14,11655,11,0,23,0,IRON_III,8,14,12855,120,0,119,0,BRONZE_II,9,16,14953,184,0,180,0,BRONZE_III,26,13,10126,80,0,78,0,BRONZE_III,93,13,10792
73,0,72,0,IRON_I,95,14,11697,311,0,331,0,BRONZE_III,34,13,10963,309,0,324,0,IRON_I,20,13,11373,145,0,146,0,BRONZE_I,8,11,8448,124,0,155,0,IRON_I,6,11,8224,64,0,75,0,BRONZE_III,75,13,10251,11,0,23,0,IRON_III,8,13,10287,8,0,8,0,IRON_I,58,12,8723,69,0,81,0,BRONZE_IV,6,10,6649,380,0,377,0,IRON_II,12,12,8693
211,0,226,0,BRONZE_IV,37,13,11333,127,0,154,0,BRONZE_III,41,15,13943,97,0,109,0,IRON_III,3,16,15596,96,0,85,0,BRONZE_III,12,14,11545,65,0,77,0,IRON_II,50,12,9429,27,0,18,0,BRONZE_IV,46,16,15467,11,0,23,0,IRON_III,8,16,14724,54,0,67,0,BRONZE_IV,28,14,12015,54,0,67,0,BRONZE_IV,28,15,14321,362,0,350,0,BRONZE_IV,44,14,11454
