rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
923,0,925,0,BRONZE_IV,66,13,10836,151,0,158,0,BRONZE_III,14,9,5769,61,0,82,0,BRONZE_III,75,13,10665,653,0,660,0,BRONZE_IV,0,11,8055,14,0,24,0,BRONZE_IV,22,8,4467,125,0,127,0,IRON_I,40,12,9381,161,0,147,0,BRONZE_III,37,10,6568,48,0,71,0,IRON_I,0,10,7037,29,0,32,0,IRON_II,75,9,5282,217,0,205,0,BRONZE_III,0,9,5400
262,0,274,0,BRONZE_IV,16,17,16632,232,0,258,0,BRONZE_IV,75,17,16904,175,0,132,0,BRONZE_I,27,16,15847,3,0,13,0,IRON_I,11,15,14131,146,0,174,0,IRON_II,0,14,12992,100,0,83,0,BRONZE_I,64,16,14971,91,0,89,0,BRONZE_III,47,14,11847,56,0,52,0,BRONZE_I,14,16,14899,29,0,32,0,IRON_II,75,16,16028,75,0,82,0,BRONZE_II,11,15,13921
47,0,50,0,BRONZE_III,77,15,13110,268,0,286,0,BRONZE_IV,34,12,9311,122,0,122,0,BRONZE_III,70,14,12529,73,0,106,0,IRON_II,18,12,9384,105,0,112,0,BRONZE_III,19,11,8576,282,0,242,0,SILVER_IV,63,12,9946,177,0,185,0,BRONZE_IV,2,13,10501,66,0,83,0,IRON_II,63,11,7760,29,0,32,0,IRON_II,75,11,8250,99,0,90,0,SILVER_IV,39,10,7157
41,0,43,0,IRON_III,94,13,10866,163,0,151,0,BRONZE_IV,58,15,13766,25,0,22,0,BRONZE_IV,66,16,14913,77,0,78,0,IRON_I,70,14,11664,74,0,74,0,BRONZE_IV,1,13,11053,1255,0,1179,0,SILVER_II,43,14,11875,482,0,457,0,BRONZE_IV,75,14,12005,13,0,14,0,BRONZE_IV,0,14,11861,29,0,32,0,IRON_II,75,14,11869,170,0,147,0,BRONZE_II,32,14,11576
152,0,145,0,BRONZE_III,33,11,7336,40,0,43,0,BRONZE_IV,76,10,6740,7,0,24,0,IRON_III,0,11,8506,528,0,523,0,BRONZE_IV,0,10,6822,528,0,523,0,BRONZE_IV,0,8,4813,6,0,6,0,IRON_I,82,13,10704,212,0,215,0,IRON_III,61,13,10046,184,0,230,0,IRON_IV,19,11,8081,29,0,32,0,IRON_II,75,11,7522,112,0,149,0,IRON_III,18,11,8311
79,0,83,0,IRON_I,39,17,16667,28,0,53,0,IRON_III,23,16,16327,150,0,152,0,BRONZE_III,1,18,18488,270,0,271,0,BRONZE_IV,25,17,17164,112,0,96,0,IRON_III,93,16,14701,243,0,239,0,BRONZE_IV,0,15,14445,119,0,152,0,IRON_III,72,15,13878,94,0,116,0,BRONZE_IV,15,15,14659,117,0,138,0,IRON_II,50,14,11960,179,0,213,0,BRONZE_IV,0,15,14633
10,0,24,0,BRONZE_IV,27,17,18301,10,0,24,0,BRONZE_IV,27,11,7338,52,0,64,0,BRONZE_IV,10,17,16512,35,0,55,0,BRONZE_IV,54,15,14300,6,0,40,0,IRON_I,0,11,8228,127,0,136,0,IRON_I,47,15,13980,27,0,49,0,IRON_II,96,14,11867,23,0,45,0,BRONZE_IV,0,15,14560,117,0,138,0,IRON_II,50,16,15794,266,0,259,0,BRONZE_IV,37,14,12544
23,0,44,0,IRON_III,41,11,7715,30,0,53,0,BRONZE_IV,0,11,7669,241,0,219,0,BRONZE_IV,52,10,6455,247,0,283,0,IRON_II,46,9,5606,77,0,108,0,BRONZE_IV,0,9,5146,154,0,167,0,IRON_II,32,14,11896,83,0,108,0,IRON_II,75,11,8038,241,0,220,0,BRONZE_III,5,12,9719,117,0,138,0,IRON_II,50,12,9232,475,0,490,0,BRONZE_IV,87,11,7571
185,0,187,0,IRON_III,40,14,12797,297,0,323,0,BRONZE_IV,0,14,11535,202,0,204,0,BRONZE_IV,11,15,14533,644,0,645,0,BRONZE_III,41,14,11721,573,0,556,0,BRONZE_IV,3,12,9414,208,0,243,0,BRONZE_II,29,17,17160,144,0,152,0,IRON_III,77,14,12690,13,0,16,0,BRONZE_IV,0,14,12780,18,0,25,0,IRON_II,27,13,11437,119,0,119,0,BRONZE_IV,0,14,12137
673,0,679,0,SILVER_IV,58,13,10075,243,0,235,0,BRONZE_II,45,14,11933,103,0,121,0,BRONZE_IV,65,13,10815,84,0,101,0,SILVER_III,14,13,10492,144,0,149,0,SILVER_IV,0,12,8923,296,0,309,0,IRON_II,66,12,9904,12,0,17,0,SILVER_IV,69,12,8743,190,0,191,0,BRONZE_II,45,12,9009,18,0,25,0,IRON_II,27,11,7770,11,0,9,0,SILVER_III,52,10,7107
126,0,128,0,BRONZE_III,92,9,5640,142,0,169,0,BRONZE_I,38,11,7358,206,0,175,0,SILVER_IV,32,10,6491,525,0,532,0,SILVER_III,33,9,5226,17,0,28,0,BRONZE_IV,58,8,4761,131,0,111,0,BRONZE_II,75,12,8669,111,0,113,0,SILVER_IV,14,10,6157,251,0,250,0,BRONZE_I,59,12,8646,18,0,25,0,IRON_II,27,9,5164,11,0,9,0,SILVER_III,52,8,4675
74,0,76,0,BRONZE_IV,0,18,25167,74,0,76,0,BRONZE_IV,0,18,21745,283,0,305,0,IRON_II,0,18,19181,85,0,84,0,BRONZE_II,0,18,22422,113,0,128,0,BRONZE_III,17,18,19462,108,0,106,0,BRONZE_III,52,18,19015,65,0,72,0,IRON_I,4,18,21546,389,0,393,0,BRONZE_III,32,18,24965,18,0,25,0,IRON_II,27,18,19113,166,0,140,0,BRONZE_I,38,18,19096
24,0,27,0,IRON_I,38,12,9018,41,0,63,0,IRON_III,75,10,6186,68,0,88,0,BRONZE_IV,28,12,9582,301,0,325,0,IRON_II,54,12,9034,98,0,118,0,BRONZE_III,30,10,6296,214,0,166,0,BRONZE_I,44,13,10813,353,0,364,0,IRON_I,68,12,8811,49,0,55,0,BRONZE_IV,36,13,11035,18,0,25,0,IRON_II,27,12,8714,82,0,102,0,BRONZE_III,40,12,9213
234,0,229,0,BRONZE_III,12,14,12217,10,0,31,0,IRON_IV,26,11,8346,118,0,111,0,BRONZE_IV,1,12,8795,419,0,409,0,BRONZE_III,91,12,8615,2,0,8,0,IRON_II,72,11,7694,4,0,16,0,IRON_II,53,13,10293,116,0,107,0,IRON_I,29,12,9944,198,0,210,0,BRONZE_IV,15,13,10335,224,0,192,0,SILVER_IV,54,13,10149,502,0,404,0,PLATINUM_IV,27,12,8789
50,0,37,0,BRONZE_II,48,18,21661,50,0,37,0,BRONZE_II,48,18,18974,111,0,101,0,SILVER_IV,0,18,19039,200,0,198,0,BRONZE_IV,11,17,16845,200,0,198,0,BRONZE_IV,11,16,14884,4,0,16,0,IRON_II,53,17,16545,207,0,197,0,BRONZE_II,14,16,15025,11,0,41,0,IRON_IV,23,18,25022,212,0,244,0,IRON_II,55,16,16266,182,0,184,0,BRONZE_II,16,15,13255
119,0,96,0,BRONZE_III,57,3,1025,182,0,124,0,BRONZE_II,33,3,840,250,0,226,0,BRONZE_III,75,3,1116,16,0,21,0,BRONZE_IV,36,1,0,167,0,196,0,IRON_II,26,2,604,4,0,16,0,IRON_II,53,3,754,277,0,266,0,BRONZE_II,39,3,985,303,0,277,0,BRONZE_III,39,3,996,336,0,351,0,BRONZE_IV,89,3,726,104,0,131,0,IRON_II,0,2,396
154,0,161,0,BRONZE_II,26,18,18864,96,0,98,0,IRON_II,0,17,17457,61,0,78,0,IRON_IV,40,17,16647,38,0,39,0,BRONZE_III,0,18,21544,295,0,264,0,SILVER_III,0,16,15461,4,0,16,0,IRON_II,53,17,16764,140,0,124,0,BRONZE_I,44,17,17851,91,0,107,0,BRONZE_IV,0,17,17265,127,0,108,0,SILVER_IV,14,16,16212,8,0,28,0,IRON_IV,0,12,9394
46,0,30,0,SILVER_III,47,18,21753,64,0,63,0,SILVER_IV,5,16,15069,330,0,359,0,BRONZE_III,10,18,19370,40,0,60,0,BRONZE_I,0,16,15630,9,0,30,0,IRON_IV,26,15,14389,4,0,16,0,IRON_II,53,17,16592,27,0,34,0,BRONZE_II,64,18,21095,15,0,21,0,BRONZE_II,0,17,18165,29,0,39,0,BRONZE_II,10,18,23324,114,0,125,0,SILVER_IV,71,18,20375
242,0,240,0,BRONZE_IV,66,14,12840,488,0,516,0,IRON_I,0,13,10052,88,0,105,0,IRON_II,0,13,10301,87,0,96,0,IRON_IV,77,12,9588,12,0,53,0,IRON_IV,0,10,6233,278,0,369,0,IRON_IV,71,14,12476,126,0,151,0,BRONZE_IV,0,15,13123,146,0,187,0,IRON_III,16,13,10413,180,0,184,0,BRONZE_IV,75,13,11195,56,0,76,0,IRON_III,25,13,11415
201,0,210,0,BRONZE_IV,71,16,14720,44,0,52,0,BRONZE_IV,76,13,10494,43,0,54,0,BRONZE_IV,30,14,12815,249,0,288,0,IRON_IV,91,11,8104,11,0,39,0,IRON_III,84,10,6901,48,0,75,0,IRON_II,28,13,10727,379,0,412,0,IRON_II,46,15,14078,216,0,228,0,BRONZE_III,0,14,11833,128,0,144,0,BRONZE_IV,20,13,10494,293,0,301,0,BRONZE_IV,34,12,9059
269,0,226,0,GOLD_IV,0,14,12043,70,0,46,0,SILVER_III,21,13,11320,342,0,332,0,PLATINUM_II,63,13,10561,342,0,332,0,PLATINUM_II,63,12,9642,331,0,319,0,PLATINUM_IV,61,10,6584,47,0,51,0,SILVER_II,0,12,8716,6,0,9,0,IRON_II,64,11,8392,27,0,24,0,GOLD_II,51,13,10749,4,0,7,0,SILVER_IV,75,12,8915,14,0,11,0,GOLD_III,97,9,5854
38,0,57,0,IRON_I,14,18,18640,53,0,87,0,BRONZE_IV,75,18,18729,141,0,136,0,SILVER_IV,93,18,18951,63,0,72,0,IRON_I,34,15,14365,168,0,129,0,BRONZE_I,37,15,14228,213,0,204,0,SILVER_IV,0,18,21387,79,0,86,0,BRONZE_IV,8,16,15038,285,0,245,0,BRONZE_I,14,17,17833,214,0,213,0,BRONZE_II,98,16,15077,36,0,41,0,IRON_II,77,15,13079
96,0,100,0,BRONZE_IV,1,15,13292,218,0,180,0,SILVER_III,29,14,11974,36,0,27,0,BRONZE_IV,37,15,14005,110,0,122,0,IRON_II,57,13,10703,77,0,66,0,BRONZE_II,0,12,9028,213,0,204,0,SILVER_IV,0,16,15429,316,0,332,0,BRONZE_II,15,16,15050,33,0,52,0,IRON_III,13,14,12424,156,0,83,0,SILVER_IV,70,17,17670,36,0,41,0,IRON_II,77,15,13232
