main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
229,0,206,0,PLATINUM_III,33,12,8714,244,0,236,0,PLATINUM_IV,75,10,6444,96,0,92,0,PLATINUM_IV,60,12,9075,205,0,217,0,PLATINUM_IV,0,10,7248,76,0,75,0,PLATINUM_II,2,9,5433,101,0,117,0,PLATINUM_III,0,12,9785,44,0,50,0,PLATINUM_II,25,13,10858,186,0,157,0,PLATINUM_III,34,11,8353,91,0,95,0,GOLD_I,34,11,8250,376,0,354,0,PLATINUM_II,28,11,7954
229,0,206,0,PLATINUM_III,33,13,10452,320,0,293,0,PLATINUM_IV,98,12,9242,171,0,143,0,PLATINUM_II,72,13,10316,208,0,192,0,PLATINUM_III,44,12,9170,376,0,354,0,PLATINUM_II,28,12,9493,30,0,27,0,PLATINUM_IV,61,12,9810,270,0,240,0,PLATINUM_III,15,10,7244,93,0,96,0,PLATINUM_IV,13,13,10219,274,0,279,0,PLATINUM_IV,75,11,8332,347,0,351,0,PLATINUM_III,15,9,6067
229,0,206,0,PLATINUM_III,33,14,11674,53,0,45,0,PLATINUM_III,0,14,12395,162,0,157,0,PLATINUM_IV,67,14,11862,398,0,391,0,PLATINUM_IV,13,13,11057,186,0,158,0,PLATINUM_I,15,12,9717,84,0,80,0,GOLD_II,75,15,13448,53,0,47,0,PLATINUM_II,7,17,16854,180,0,181,0,PLATINUM_III,48,16,16172,274,0,279,0,PLATINUM_IV,75,14,11797,12,0,19,0,PLATINUM_II,62,14,12146
28,0,19,0,PLATINUM_IV,37,15,14090,30,0,23,0,PLATINUM_IV,37,18,18667,217,0,216,0,PLATINUM_III,15,16,14951,219,0,205,0,PLATINUM_II,0,13,11126,92,0,68,0,PLATINUM_II,38,13,11034,94,0,88,0,PLATINUM_III,25,14,12895,46,0,36,0,PLATINUM_III,39,14,12697,463,0,458,0,PLATINUM_III,0,15,13059,120,0,115,0,PLATINUM_II,20,13,11301,292,0,283,0,PLATINUM_IV,76,13,10664
86,0,90,0,PLATINUM_II,82,17,17311,457,0,432,0,PLATINUM_I,5,15,13769,71,0,65,0,PLATINUM_IV,67,14,12930,28,0,26,0,PLATINUM_IV,38,15,13695,34,0,34,0,PLATINUM_IV,54,14,12096,94,0,88,0,PLATINUM_III,25,13,10379,158,0,153,0,PLATINUM_III,17,15,14305,88,0,85,0,PLATINUM_III,16,14,12953,220,0,188,0,PLATINUM_III,75,15,13039,548,0,535,0,PLATINUM_I,51,13,10190
207,0,209,0,PLATINUM_I,10,16,16001,551,0,534,0,DIAMOND_IV,0,16,14788,161,0,161,0,PLATINUM_II,0,16,15872,260,0,284,0,PLATINUM_I,0,15,13492,55,0,63,0,PLATINUM_II,55,13,10948,94,0,88,0,PLATINUM_III,25,14,12733,39,0,38,0,PLATINUM_II,12,15,13931,287,0,259,0,PLATINUM_II,37,15,13360,104,0,108,0,PLATINUM_IV,91,15,13624,87,0,91,0,PLATINUM_I,35,13,10429
126,0,112,0,PLATINUM_III,42,14,11508,204,0,204,0,PLATINUM_II,59,14,12877,152,0,132,0,PLATINUM_II,29,15,14016,84,0,82,0,PLATINUM_III,44,14,11508,277,0,265,0,PLATINUM_II,75,12,9646,94,0,88,0,PLATINUM_III,25,11,7896,172,0,192,0,PLATINUM_III,59,13,10967,202,0,201,0,PLATINUM_IV,49,11,8341,676,0,640,0,PLATINUM_I,49,12,9751,106,0,87,0,PLATINUM_II,44,12,8596
112,0,91,0,PLATINUM_II,42,16,15150,350,0,348,0,PLATINUM_IV,16,14,12973,202,0,185,0,PLATINUM_I,59,15,14214,88,0,79,0,PLATINUM_III,75,14,12554,213,0,213,0,PLATINUM_II,57,12,9949,94,0,88,0,PLATINUM_III,25,15,14413,109,0,108,0,PLATINUM_IV,32,16,15397,540,0,546,0,PLATINUM_III,45,17,17471,495,0,464,0,PLATINUM_III,32,16,16061,131,0,133,0,PLATINUM_III,16,15,13623
127,0,132,0,PLATINUM_IV,17,15,13589,311,0,298,0,PLATINUM_IV,59,15,13284,104,0,103,0,PLATINUM_IV,77,16,14951,72,0,62,0,PLATINUM_III,40,15,13280,13,0,10,0,GOLD_I,7,14,11512,300,0,298,0,PLATINUM_IV,35,16,16148,646,0,637,0,PLATINUM_III,30,17,16681,62,0,65,0,DIAMOND_IV,1,16,16075,257,0,212,0,PLATINUM_I,35,17,16862,176,0,165,0,GOLD_II,46,13,10383
48,0,41,0,PLATINUM_IV,0,16,16319,134,0,121,0,PLATINUM_III,0,17,17461,215,0,196,0,PLATINUM_I,0,15,14321,72,0,62,0,PLATINUM_III,40,16,15210,13,0,10,0,GOLD_I,7,13,10372,343,0,336,0,PLATINUM_IV,55,16,15370,223,0,226,0,PLATINUM_III,26,14,12609,308,0,288,0,PLATINUM_III,73,14,12793,49,0,58,0,GOLD_I,60,14,12226,277,0,273,0,PLATINUM_III,13,12,9192
99,0,92,0,PLATINUM_IV,73,16,16444,395,0,383,0,PLATINUM_IV,75,18,19622,194,0,220,0,PLATINUM_III,0,16,15768,72,0,62,0,PLATINUM_III,40,16,16168,13,0,10,0,GOLD_I,7,16,15616,190,0,168,0,PLATINUM_III,97,18,24200,36,0,15,0,PLATINUM_IV,1,18,20166,220,0,213,0,GOLD_II,0,18,19335,47,0,45,0,GOLD_III,70,17,18198,443,0,436,0,PLATINUM_III,14,17,17630
345,0,331,0,PLATINUM_IV,58,18,25006,236,0,231,0,GOLD_II,48,18,18390,193,0,174,0,PLATINUM_II,76,18,19004,72,0,62,0,PLATINUM_III,40,17,18077,13,0,10,0,GOLD_I,7,15,14040,97,0,93,0,PLATINUM_II,0,17,17429,557,0,559,0,GOLD_I,26,15,13376,301,0,287,0,PLATINUM_IV,75,15,14384,79,0,71,0,PLATINUM_IV,43,14,12131,359,0,365,0,PLATINUM_III,84,14,12930
225,0,211,0,PLATINUM_II,37,16,15904,486,0,485,0,PLATINUM_IV,1,17,18158,150,0,139,0,PLATINUM_IV,49,17,17898,72,0,62,0,PLATINUM_III,40,17,17114,13,0,10,0,GOLD_I,7,16,15111,56,0,50,0,PLATINUM_IV,79,15,14117,217,0,209,0,GOLD_I,0,16,15578,131,0,129,0,PLATINUM_IV,18,17,18244,75,0,93,0,PLATINUM_II,47,16,15080,99,0,117,0,GOLD_II,32,14,12701
