ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
100,0,91,0,PLATINUM_II,72,18,21430,231,0,249,0,PLATINUM_II,69,18,21184,294,0,312,0,PLATINUM_III,76,18,21249,49,0,59,0,PLATINUM_II,13,18,20314,112,0,110,0,PLATINUM_II,57,16,16273,558,0,552,0,PLATINUM_III,13,18,21765,62,0,55,0,PLATINUM_III,43,17,17436,128,0,136,0,PLATINUM_II,3,18,21132,122,0,128,0,PLATINUM_III,35,17,16985,64,0,79,0,PLATINUM_I,7,15,14037
101,0,79,0,DIAMOND_IV,1,13,11293,167,0,153,0,PLATINUM_III,16,13,10418,340,0,311,0,PLATINUM_I,29,15,13629,49,0,59,0,PLATINUM_II,13,12,9295,315,0,300,0,PLATINUM_III,75,11,7638,80,0,70,0,PLATINUM_I,0,16,15233,329,0,340,0,PLATINUM_II,40,15,14678,336,0,326,0,PLATINUM_II,18,14,11478,29,0,27,0,PLATINUM_II,35,14,12643,261,0,249,0,PLATINUM_II,15,13,10754
222,0,208,0,PLATINUM_II,81,12,9763,73,0,91,0,PLATINUM_II,52,12,8625,348,0,305,0,PLATINUM_II,39,13,10084,49,0,59,0,PLATINUM_II,13,12,8910,34,0,30,0,PLATINUM_III,60,11,7364,460,0,439,0,PLATINUM_I,0,15,13588,147,0,144,0,PLATINUM_II,61,14,12149,410,0,423,0,PLATINUM_II,46,15,13750,342,0,334,0,PLATINUM_III,45,14,11475,153,0,161,0,DIAMOND_III,20,12,8663
290,0,299,0,PLATINUM_IV,33,14,12216,141,0,109,0,PLATINUM_II,75,12,9490,270,0,251,0,PLATINUM_IV,60,15,14243,49,0,59,0,PLATINUM_II,13,12,8909,5,0,8,0,GOLD_I,69,11,7556,104,0,91,0,PLATINUM_I,93,16,14808,306,0,303,0,PLATINUM_III,65,16,15379,207,0,209,0,PLATINUM_I,67,15,14503,129,0,120,0,PLATINUM_III,61,14,11707,344,0,344,0,PLATINUM_I,78,13,10029
121,0,130,0,PLATINUM_III,75,13,11435,124,0,82,0,DIAMOND_II,9,13,10323,252,0,248,0,DIAMOND_IV,48,13,10037,49,0,59,0,PLATINUM_II,13,11,8039,75,0,55,0,PLATINUM_II,72,9,5732,40,0,33,0,PLATINUM_III,33,10,6713,47,0,42,0,PLATINUM_IV,19,9,5497,207,0,209,0,PLATINUM_I,67,12,9007,113,0,105,0,PLATINUM_I,68,10,6423,74,0,73,0,PLATINUM_IV,0,10,6308
55,0,43,0,PLATINUM_II,0,15,13855,225,0,207,0,PLATINUM_II,3,13,10620,55,0,31,0,PLATINUM_IV,32,14,12249,85,0,73,0,PLATINUM_III,44,11,8511,200,0,191,0,PLATINUM_II,50,11,8135,119,0,102,0,PLATINUM_II,47,16,14793,105,0,104,0,PLATINUM_II,16,15,14307,109,0,106,0,PLATINUM_II,57,15,14379,220,0,217,0,PLATINUM_I,68,14,11790,122,0,127,0,PLATINUM_II,28,13,11177
90,0,95,0,PLATINUM_II,1,18,20213,225,0,207,0,PLATINUM_II,3,16,15497,386,0,373,0,PLATINUM_II,0,17,16670,805,0,799,0,PLATINUM_I,42,17,17068,116,0,121,0,PLATINUM_II,75,15,13532,72,0,56,0,PLATINUM_I,1,18,20696,161,0,148,0,PLATINUM_I,3,18,19552,223,0,225,0,PLATINUM_II,29,18,19906,372,0,373,0,PLATINUM_I,2,18,19173,300,0,306,0,PLATINUM_II,54,16,15531
21,0,14,0,GOLD_IV,47,13,11145,225,0,207,0,PLATINUM_II,3,10,6926,38,0,35,0,SILVER_II,94,12,8698,144,0,124,0,PLATINUM_IV,13,11,7495,10,0,14,0,BRONZE_IV,76,9,5347,114,0,131,0,PLATINUM_IV,0,12,9446,63,0,61,0,GOLD_III,52,12,9162,88,0,74,0,PLATINUM_II,1,13,10560,14,0,18,0,GOLD_I,51,12,9632,18,0,15,0,SILVER_II,30,11,8426
68,0,75,0,SILVER_III,15,8,4516,68,0,75,0,SILVER_III,15,8,4183,53,0,54,0,SILVER_I,24,9,5064,35,0,35,0,SILVER_III,72,10,6888,35,0,35,0,SILVER_III,72,8,4598,215,0,186,0,GRANDMASTER_I,557,12,9167,5,0,5,0,GOLD_III,27,8,4502,79,0,86,0,DIAMOND_II,4,10,6424,22,0,13,0,PLATINUM_II,57,11,8131,56,0,57,0,GOLD_II,47,9,5506
56,0,57,0,GOLD_II,47,17,17466,90,0,88,0,GOLD_III,69,15,14472,33,0,25,0,GOLD_I,32,15,13266,73,0,73,0,GOLD_IV,0,15,13628,132,0,132,0,GOLD_I,33,13,11199,56,0,57,0,GOLD_II,47,14,12865,215,0,186,0,GRANDMASTER_I,557,15,13237,79,0,86,0,DIAMOND_II,4,14,11635,22,0,13,0,PLATINUM_II,57,12,9541,5,0,5,0,GOLD_III,27,13,10068
