rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
202,0,167,0,PLATINUM_IV,10,18,18604,47,0,41,0,GOLD_I,32,17,16857,530,0,501,0,PLATINUM_IV,0,16,16326,122,0,114,0,PLATINUM_IV,0,15,14031,77,0,49,0,GOLD_II,75,15,14131,74,0,62,0,GOLD_I,60,17,18230,148,0,148,0,PLATINUM_IV,50,18,18685,86,0,78,0,PLATINUM_IV,30,17,17394,156,0,158,0,PLATINUM_IV,28,17,17480,80,0,87,0,PLATINUM_IV,33,16,15993
218,0,205,0,PLATINUM_III,5,15,13791,113,0,109,0,PLATINUM_IV,28,15,13950,274,0,259,0,PLATINUM_IV,77,15,14518,221,0,213,0,PLATINUM_IV,48,16,14741,60,0,70,0,PLATINUM_IV,0,15,13076,259,0,249,0,PLATINUM_IV,58,14,12974,148,0,148,0,PLATINUM_IV,50,13,10508,214,0,205,0,PLATINUM_IV,0,15,13063,282,0,228,0,PLATINUM_IV,64,11,8508,114,0,135,0,PLATINUM_IV,35,13,10252
246,0,230,0,PLATINUM_IV,27,12,9109,151,0,167,0,GOLD_III,81,12,8911,365,0,349,0,PLATINUM_IV,14,13,10378,200,0,156,0,PLATINUM_I,100,11,7602,246,0,203,0,GOLD_II,61,11,7434,113,0,86,0,PLATINUM_III,8,14,12136,98,0,78,0,PLATINUM_IV,15,16,14824,147,0,123,0,GOLD_I,25,14,12738,75,0,52,0,PLATINUM_IV,53,12,9894,28,0,28,0,GOLD_I,35,12,9061
155,0,181,0,GOLD_II,0,16,15944,521,0,545,0,PLATINUM_III,0,15,14515,87,0,90,0,PLATINUM_IV,0,16,14871,104,0,98,0,PLATINUM_IV,22,14,11670,199,0,186,0,PLATINUM_III,32,14,11606,101,0,94,0,PLATINUM_IV,0,15,13442,98,0,78,0,PLATINUM_IV,15,15,14506,295,0,239,0,PLATINUM_I,39,13,11366,182,0,170,0,PLATINUM_IV,86,12,9518,28,0,28,0,GOLD_I,35,14,12439
85,0,59,0,PLATINUM_II,1,18,22101,441,0,485,0,PLATINUM_IV,26,17,17558,105,0,108,0,GOLD_III,46,17,17878,485,0,469,0,PLATINUM_IV,45,18,18585,222,0,244,0,GOLD_II,57,15,14289,112,0,124,0,PLATINUM_IV,20,16,15391,98,0,78,0,PLATINUM_IV,15,17,18161,108,0,81,0,PLATINUM_III,0,15,14311,124,0,125,0,GOLD_II,15,16,15683,28,0,28,0,GOLD_I,35,15,13500
544,0,490,0,PLATINUM_IV,0,16,16145,229,0,196,0,PLATINUM_IV,59,16,15843,45,0,34,0,PLATINUM_IV,88,13,11268,72,0,63,0,PLATINUM_IV,75,15,14549,73,0,92,0,PLATINUM_IV,30,13,11180,531,0,515,0,PLATINUM_IV,29,13,10258,98,0,78,0,PLATINUM_IV,15,13,10806,115,0,108,0,PLATINUM_IV,27,14,11918,215,0,213,0,PLATINUM_IV,13,14,11658,28,0,28,0,GOLD_I,35,12,8722
44,0,44,0,GOLD_I,63,15,13055,161,0,135,0,PLATINUM_IV,11,14,11966,123,0,129,0,PLATINUM_IV,0,15,13173,50,0,60,0,GOLD_II,56,14,11847,136,0,121,0,PLATINUM_IV,12,13,10798,283,0,294,0,PLATINUM_IV,57,16,15413,192,0,197,0,PLATINUM_IV,53,16,16054,346,0,345,0,PLATINUM_IV,61,16,15002,135,0,132,0,PLATINUM_IV,3,14,12275,214,0,199,0,PLATINUM_IV,28,14,12540
42,0,50,0,GOLD_II,48,15,13288,69,0,63,0,PLATINUM_IV,0,14,12221,134,0,103,0,PLATINUM_IV,0,15,13337,267,0,277,0,PLATINUM_IV,70,13,10896,256,0,257,0,PLATINUM_IV,42,11,7618,16,0,22,0,GOLD_II,8,16,14905,26,0,19,0,GOLD_II,35,17,16597,243,0,227,0,PLATINUM_IV,49,15,14134,29,0,20,0,PLATINUM_IV,18,15,13146,214,0,199,0,PLATINUM_IV,28,13,11424
80,0,74,0,PLATINUM_IV,0,18,23242,278,0,277,0,GOLD_IV,0,18,24435,123,0,110,0,GOLD_IV,26,18,23772,49,0,54,0,SILVER_II,97,18,20383,75,0,59,0,SILVER_II,5,16,16400,67,0,43,0,GOLD_II,62,18,22727,56,0,48,0,SILVER_III,9,18,20265,56,0,48,0,SILVER_III,9,17,16563,224,0,230,0,GOLD_IV,75,18,19509,252,0,257,0,SILVER_II,25,17,17058
80,0,74,0,PLATINUM_IV,0,15,14603,123,0,110,0,GOLD_IV,26,16,15027,278,0,277,0,GOLD_IV,0,14,12454,49,0,54,0,SILVER_II,97,14,12740,75,0,59,0,SILVER_II,5,13,10289,148,0,146,0,PLATINUM_IV,32,17,17876,53,0,58,0,SILVER_IV,4,17,16961,188,0,169,0,GOLD_IV,24,17,17393,38,0,50,0,GOLD_III,67,17,16580,222,0,197,0,SILVER_II,35,15,14006
141,0,114,0,DIAMOND_IV,0,18,21171,189,0,186,0,PLATINUM_III,0,18,18463,591,0,585,0,PLATINUM_II,23,17,17049,120,0,93,0,PLATINUM_III,75,16,16438,158,0,151,0,GOLD_II,0,16,15085,62,0,62,0,PLATINUM_III,22,17,17084,52,0,58,0,PLATINUM_IV,3,16,15256,34,0,42,0,PLATINUM_IV,0,15,14484,265,0,305,0,PLATINUM_IV,0,16,14716,14,0,33,0,GOLD_III,49,14,11900
90,0,82,0,PLATINUM_II,8,18,21947,78,0,61,0,PLATINUM_IV,75,18,22546,304,0,288,0,PLATINUM_II,26,18,19803,61,0,84,0,PLATINUM_IV,0,15,14686,77,0,52,0,PLATINUM_II,24,16,15160,152,0,135,0,PLATINUM_II,75,18,21330,235,0,197,0,PLATINUM_III,26,18,19016,34,0,42,0,PLATINUM_IV,0,16,15399,612,0,610,0,PLATINUM_IV,28,16,16248,160,0,175,0,PLATINUM_IV,0,14,12490
225,0,214,0,PLATINUM_I,14,16,15608,158,0,167,0,PLATINUM_III,14,15,14278,338,0,341,0,PLATINUM_IV,0,15,14281,321,0,331,0,PLATINUM_IV,0,15,13565,53,0,54,0,GOLD_II,85,13,11381,74,0,70,0,PLATINUM_IV,69,16,15322,66,0,71,0,GOLD_II,15,17,16802,34,0,42,0,PLATINUM_IV,0,18,19029,60,0,43,0,PLATINUM_II,53,17,17648,133,0,114,0,PLATINUM_IV,75,13,11004
101,0,85,0,PLATINUM_III,0,12,9925,257,0,199,0,DIAMOND_III,35,11,7791,470,0,455,0,GOLD_I,0,12,9398,148,0,174,0,PLATINUM_IV,27,11,7689,542,0,566,0,PLATINUM_III,45,10,6582,25,0,30,0,GOLD_I,91,12,9648,59,0,70,0,PLATINUM_II,25,10,6826,34,0,42,0,PLATINUM_IV,0,12,8777,23,0,20,0,PLATINUM_IV,2,10,6495,229,0,230,0,PLATINUM_IV,25,9,5479
