ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
39,0,36,0,SILVER_II,61,13,11116,23,0,13,0,SILVER_II,47,11,7989,144,0,138,0,GOLD_IV,39,13,10786,217,0,209,0,GOLD_III,5,12,8607,6,0,6,0,SILVER_I,0,11,7666,15,0,14,0,SILVER_I,68,15,13467,268,0,270,0,GOLD_IV,11,13,11173,54,0,52,0,GOLD_IV,19,14,12444,68,0,58,0,GOLD_IV,0,13,10631,463,0,459,0,GOLD_III,57,13,10006
58,0,68,0,GOLD_III,34,15,13833,23,0,13,0,SILVER_II,47,12,9168,49,0,42,0,GOLD_II,15,13,11296,38,0,36,0,GOLD_III,22,12,8787,14,0,19,0,GOLD_III,61,9,5679,9,0,18,0,SILVER_II,35,15,13584,115,0,124,0,GOLD_IV,43,13,10323,4,0,8,0,SILVER_II,71,15,13085,56,0,73,0,GOLD_III,0,13,10923,26,0,31,0,GOLD_IV,0,13,10276
239,0,231,0,GOLD_IV,0,10,6903,23,0,13,0,SILVER_II,47,8,4694,224,0,244,0,GOLD_III,9,10,6824,89,0,82,0,GOLD_II,15,9,5321,104,0,125,0,GOLD_IV,30,8,4693,48,0,45,0,GOLD_IV,19,11,7667,38,0,29,0,GOLD_III,79,10,6932,314,0,309,0,PLATINUM_IV,9,12,9118,126,0,121,0,GOLD_III,63,9,5547,318,0,324,0,GOLD_IV,0,8,4857
45,0,48,0,GOLD_III,21,11,8399,23,0,13,0,SILVER_II,47,10,7288,23,0,19,0,PLATINUM_IV,0,13,10515,20,0,12,0,GOLD_IV,19,10,7189,76,0,76,0,GOLD_III,59,10,7016,60,0,77,0,GOLD_IV,65,14,12404,42,0,42,0,GOLD_IV,2,12,8984,43,0,42,0,PLATINUM_IV,1,14,11837,188,0,207,0,SILVER_II,40,12,9770,51,0,43,0,GOLD_II,18,10,7072
5,0,6,0,GOLD_III,19,15,13240,23,0,13,0,SILVER_II,47,15,13364,107,0,74,0,PLATINUM_IV,39,16,15253,130,0,135,0,GOLD_III,93,15,13825,93,0,97,0,SILVER_I,14,14,12698,80,0,55,0,PLATINUM_III,76,13,10405,80,0,55,0,PLATINUM_III,76,12,9868,80,0,55,0,PLATINUM_III,76,13,10318,110,0,97,0,PLATINUM_IV,16,13,10216,84,0,77,0,PLATINUM_IV,44,12,9576
304,0,276,0,PLATINUM_IV,1,15,13967,364,0,358,0,GOLD_II,14,12,9148,163,0,151,0,GOLD_II,13,14,12391,45,0,56,0,GOLD_III,51,12,9901,123,0,122,0,GOLD_I,25,11,7438,97,0,112,0,GOLD_II,35,12,9445,13,0,13,0,GOLD_II,52,11,8269,57,0,56,0,GOLD_III,6,14,12137,17,0,18,0,SILVER_II,27,11,7632,202,0,190,0,GOLD_II,65,10,6960
47,0,36,0,GOLD_I,82,17,16691,685,0,685,0,GOLD_IV,0,14,11881,172,0,161,0,GOLD_III,31,14,12526,599,0,569,0,GOLD_III,11,13,11059,255,0,239,0,GOLD_II,75,12,9954,169,0,168,0,GOLD_III,75,16,15145,23,0,28,0,GOLD_III,23,16,15101,197,0,149,0,PLATINUM_III,40,16,15115,17,0,18,0,SILVER_II,27,15,14011,161,0,139,0,PLATINUM_IV,0,15,13610
124,0,110,0,SILVER_II,11,15,14054,1360,0,1368,0,SILVER_IV,75,14,12947,185,0,179,0,SILVER_III,86,15,13128,29,0,18,0,SILVER_II,50,14,12085,30,0,21,0,BRONZE_I,100,13,10455,30,0,35,0,SILVER_II,23,15,14625,61,0,66,0,SILVER_III,12,11,7374,154,0,143,0,SILVER_IV,91,14,12922,223,0,242,0,SILVER_IV,0,13,10760,555,0,573,0,SILVER_III,64,12,9584
124,0,110,0,SILVER_II,11,17,16879,357,0,323,0,SILVER_I,26,17,17599,419,0,428,0,SILVER_II,51,17,17036,57,0,58,0,SILVER_IV,35,16,15647,49,0,52,0,SILVER_II,22,15,14078,36,0,45,0,SILVER_IV,75,16,14972,351,0,323,0,SILVER_II,71,16,16043,353,0,324,0,SILVER_II,76,18,20058,111,0,123,0,SILVER_III,0,15,13737,6,0,6,0,SILVER_IV,75,14,12820
124,0,110,0,SILVER_II,11,18,21047,92,0,99,0,SILVER_III,7,18,20590,159,0,164,0,SILVER_III,99,18,20814,195,0,225,0,SILVER_III,47,16,15961,159,0,184,0,SILVER_IV,62,15,13866,50,0,63,0,SILVER_III,13,18,22250,120,0,132,0,GOLD_III,40,18,23533,88,0,71,0,SILVER_III,0,18,23875,256,0,250,0,SILVER_III,72,18,18507,141,0,147,0,SILVER_II,7,16,16131
124,0,110,0,SILVER_II,11,18,18443,106,0,114,0,BRONZE_I,43,16,15103,250,0,244,0,SILVER_III,31,18,20493,188,0,218,0,SILVER_II,70,18,19444,518,0,537,0,SILVER_II,57,17,16658,109,0,96,0,SILVER_III,53,18,19569,18,0,38,0,SILVER_IV,37,17,18026,237,0,252,0,SILVER_IV,45,17,17693,36,0,35,0,BRONZE_II,75,17,16635,17,0,18,0,SILVER_IV,0,16,16299
124,0,110,0,SILVER_II,11,17,17938,114,0,145,0,SILVER_III,29,17,16670,26,0,31,0,SILVER_III,8,16,16110,100,0,114,0,SILVER_II,0,16,14988,362,0,331,0,SILVER_III,57,15,13978,508,0,484,0,SILVER_II,43,16,15539,122,0,120,0,SILVER_III,59,15,14679,204,0,214,0,SILVER_III,3,16,15420,80,0,106,0,SILVER_III,69,15,14617,332,0,340,0,SILVER_III,58,13,11409
42,0,46,0,SILVER_II,0,14,11771,58,0,68,0,SILVER_II,15,14,12035,53,0,45,0,SILVER_II,76,16,16315,47,0,31,0,SILVER_I,20,14,11538,51,0,58,0,SILVER_I,100,13,10625,18,0,32,0,SILVER_IV,0,14,12628,120,0,94,0,SILVER_III,75,12,9806,21,0,23,0,SILVER_II,68,13,10424,48,0,56,0,SILVER_II,0,11,8579,18,0,14,0,SILVER_II,84,12,8835
75,0,69,0,GOLD_III,15,16,16009,179,0,170,0,GOLD_IV,0,13,11282,53,0,45,0,SILVER_II,76,14,12768,15,0,12,0,SILVER_I,28,12,9557,26,0,20,0,SILVER_III,47,11,8238,497,0,494,0,SILVER_II,0,13,11264,289,0,269,0,GOLD_IV,1,10,7009,129,0,118,0,SILVER_II,65,12,9257,147,0,150,0,GOLD_III,20,12,8732,92,0,104,0,SILVER_III,23,11,8317
40,0,46,0,SILVER_I,6,15,14664,46,0,41,0,GOLD_IV,1,14,12779,10,0,11,0,SILVER_II,73,15,13248,131,0,127,0,GOLD_III,0,13,10303,57,0,65,0,SILVER_II,60,12,9952,40,0,44,0,GOLD_IV,15,14,11864,97,0,134,0,SILVER_II,0,13,10096,17,0,15,0,SILVER_IV,33,12,9957,24,0,49,0,SILVER_IV,32,10,7038,20,0,27,0,SILVER_I,100,12,9023
46,0,41,0,GOLD_IV,1,17,17853,37,0,21,0,GOLD_II,4,18,18476,10,0,11,0,SILVER_II,73,18,18695,32,0,34,0,SILVER_IV,47,16,15240,22,0,25,0,SILVER_I,60,15,13921,69,0,61,0,GOLD_IV,23,17,17263,168,0,175,0,GOLD_III,62,18,20647,79,0,79,0,SILVER_I,14,18,19683,26,0,24,0,SILVER_I,90,18,20525,154,0,135,0,SILVER_III,32,16,16050
46,0,41,0,GOLD_IV,1,11,7342,11,0,15,0,SILVER_I,28,11,7424,10,0,11,0,SILVER_II,73,12,9652,151,0,131,0,PLATINUM_IV,28,9,6090,161,0,167,0,GOLD_IV,56,8,4361,62,0,70,0,SILVER_II,39,11,8436,28,0,33,0,GOLD_IV,0,11,8354,244,0,229,0,GOLD_IV,0,12,9502,28,0,12,0,GOLD_I,2,13,10602,83,0,113,0,SILVER_III,84,10,7056
46,0,41,0,GOLD_IV,1,13,10630,106,0,120,0,SILVER_III,72,13,11265,10,0,11,0,SILVER_II,73,14,13008,14,0,15,0,SILVER_II,21,13,11419,36,0,26,0,GOLD_IV,1,11,7735,26,0,28,0,GOLD_IV,19,15,14483,25,0,29,0,SILVER_II,75,14,12707,30,0,18,0,GOLD_III,45,15,13128,85,0,82,0,PLATINUM_IV,57,15,13834,28,0,25,0,GOLD_IV,1,13,10875
46,0,41,0,GOLD_IV,1,14,11884,11,0,16,0,SILVER_II,74,14,11700,10,0,11,0,SILVER_II,73,15,14129,47,0,47,0,SILVER_II,75,14,12383,68,0,88,0,SILVER_II,68,15,13541,24,0,22,0,SILVER_I,100,17,17640,38,0,27,0,GOLD_III,9,15,14349,13,0,4,0,SILVER_I,30,16,14831,8,0,13,0,SILVER_II,24,14,12749,54,0,37,0,PLATINUM_IV,1,14,11878
68,0,71,0,SILVER_I,30,15,13205,279,0,230,0,GOLD_IV,1,16,16174,49,0,57,0,SILVER_II,77,15,13825,140,0,131,0,SILVER_II,81,14,12722,43,0,59,0,SILVER_III,43,14,12515,25,0,19,0,SILVER_III,34,13,10188,22,0,12,0,SILVER_III,21,13,11283,244,0,244,0,SILVER_II,46,14,11562,29,0,30,0,SILVER_III,69,11,8388,17,0,13,0,SILVER_II,0,11,8112
67,0,63,0,GOLD_IV,33,18,19157,34,0,17,0,SILVER_III,34,18,22025,25,0,38,0,SILVER_III,0,18,19886,69,0,63,0,GOLD_IV,68,15,13624,32,0,22,0,SILVER_III,6,15,13425,25,0,19,0,SILVER_III,34,16,15937,74,0,83,0,SILVER_II,76,15,13715,85,0,87,0,SILVER_II,72,15,14160,53,0,53,0,SILVER_III,50,17,18000,17,0,13,0,SILVER_II,0,15,13228
95,0,75,0,SILVER_II,13,15,13513,40,0,49,0,SILVER_I,80,14,12311,128,0,121,0,SILVER_I,77,15,14168,34,0,33,0,SILVER_I,74,15,13086,39,0,44,0,SILVER_IV,81,12,8732,52,0,61,0,SILVER_II,62,15,13331,56,0,57,0,SILVER_II,32,13,10587,24,0,27,0,SILVER_III,57,12,9639,29,0,28,0,SILVER_II,28,13,10388,100,0,104,0,SILVER_I,5,11,8092
11,0,12,0,SILVER_III,43,15,13807,53,0,65,0,SILVER_I,0,13,10747,20,0,23,0,SILVER_III,67,15,13990,38,0,42,0,SILVER_III,89,13,11408,37,0,33,0,SILVER_III,84,12,9452,455,0,460,0,SILVER_I,33,16,16167,56,0,57,0,SILVER_II,32,16,15317,167,0,151,0,SILVER_II,40,14,12540,215,0,195,0,SILVER_II,0,16,15588,197,0,174,0,GOLD_IV,8,14,12984
45,0,32,0,GOLD_I,41,12,9792,406,0,425,0,SILVER_III,61,9,6068,59,0,53,0,SILVER_IV,58,12,8990,252,0,238,0,SILVER_II,31,11,8296,132,0,138,0,SILVER_II,90,9,5317,313,0,324,0,SILVER_II,15,9,5830,56,0,57,0,SILVER_II,32,9,5087,29,0,33,0,SILVER_III,88,9,5911,112,0,117,0,SILVER_II,24,8,4964,53,0,55,0,SILVER_II,11,8,4447
95,0,83,0,SILVER_II,38,12,9830,41,0,46,0,SILVER_II,0,15,13522,487,0,467,0,GOLD_III,57,15,14068,115,0,140,0,SILVER_II,32,15,14256,191,0,198,0,SILVER_II,39,13,10235,195,0,186,0,GOLD_IV,54,16,16121,56,0,57,0,SILVER_II,32,16,15168,88,0,101,0,SILVER_II,18,17,17489,132,0,120,0,SILVER_II,75,15,13163,101,0,104,0,SILVER_II,24,15,13941
156,0,155,0,GOLD_IV,1,15,14531,166,0,168,0,SILVER_I,67,15,13409,90,0,95,0,SILVER_III,90,16,15030,82,0,78,0,SILVER_I,72,13,10968,67,0,45,0,SILVER_IV,60,13,10700,234,0,237,0,GOLD_IV,71,14,12376,56,0,57,0,SILVER_II,32,13,10472,97,0,102,0,SILVER_I,68,14,12118,425,0,414,0,GOLD_III,16,12,9947,89,0,95,0,SILVER_III,83,11,8545
53,0,59,0,GOLD_IV,61,18,18469,30,0,38,0,SILVER_II,8,17,17486,464,0,470,0,SILVER_II,38,16,15948,529,0,522,0,PLATINUM_IV,12,14,12795,273,0,250,0,GOLD_IV,44,15,13394,51,0,54,0,SILVER_IV,77,18,22172,124,0,102,0,GOLD_II,46,18,21049,319,0,314,0,GOLD_IV,49,18,22421,119,0,129,0,SILVER_III,15,18,19544,132,0,128,0,GOLD_III,10,16,16403
85,0,70,0,GOLD_IV,76,16,15034,30,0,38,0,SILVER_II,8,14,12555,131,0,149,0,SILVER_IV,54,14,11484,60,0,63,0,SILVER_I,48,14,12378,20,0,24,0,SILVER_III,1,14,11760,132,0,128,0,GOLD_III,10,15,13696,228,0,202,0,GOLD_I,37,16,15463,102,0,102,0,GOLD_IV,14,14,12928,48,0,48,0,SILVER_II,48,16,15767,201,0,213,0,SILVER_II,46,14,12622
190,0,175,0,GOLD_II,4,13,11173,30,0,38,0,SILVER_II,8,13,11061,56,0,63,0,SILVER_II,67,14,12204,158,0,145,0,GOLD_IV,15,11,7712,476,0,467,0,GOLD_III,39,10,6716,597,0,583,0,GOLD_III,28,12,9119,401,0,384,0,GOLD_II,52,11,7788,170,0,174,0,SILVER_II,8,10,6702,151,0,154,0,SILVER_I,71,10,6213,79,0,92,0,SILVER_III,61,10,7244
66,0,78,0,SILVER_III,31,15,14139,30,0,38,0,SILVER_II,8,14,12041,161,0,177,0,SILVER_II,0,14,11640,43,0,44,0,SILVER_II,47,14,11570,70,0,76,0,SILVER_I,1,15,13029,92,0,89,0,SILVER_III,24,17,16738,55,0,36,0,GOLD_IV,64,17,17993,227,0,230,0,SILVER_II,30,17,16851,331,0,329,0,SILVER_III,66,13,10254,70,0,78,0,GOLD_IV,6,14,12146
