result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,63,47,SILVER_III,1,18,18646,96,92,SILVER_III,16,17,17284,120,123,SILVER_IV,46,17,16974,102,93,SILVER_IV,75,17,17326,98,91,SILVER_IV,56,15,13584,70,61,SILVER_I,38,16,16162,25,43,SILVER_IV,15,17,17749,105,97,SILVER_III,61,16,14701,25,41,BRONZE_I,0,16,15937,43,78,SILVER_IV,0,15,13894
1,118,112,SILVER_IV,38,17,17205,171,175,SILVER_IV,62,17,16681,93,98,SILVER_IV,0,18,19609,13,18,BRONZE_I,3,14,12888,67,62,SILVER_IV,0,15,14436,57,57,SILVER_IV,16,18,22356,25,43,SILVER_IV,15,18,25010,61,60,BRONZE_II,59,18,19751,25,41,BRONZE_I,0,17,17019,53,73,SILVER_IV,7,15,14696
0,154,140,SILVER_II,53,16,15148,113,123,SILVER_III,1,16,14835,165,199,SILVER_IV,79,18,19824,79,81,SILVER_IV,69,16,15692,286,274,SILVER_II,53,14,12161,186,191,SILVER_III,27,14,11581,234,215,SILVER_II,36,13,10985,481,426,SILVER_III,18,15,14195,25,41,BRONZE_I,0,13,10568,25,43,SILVER_IV,15,14,11615
1,58,68,SILVER_IV,75,18,19407,443,449,SILVER_III,34,18,18769,155,167,SILVER_III,75,18,20796,41,38,SILVER_II,45,18,19526,113,121,SILVER_IV,64,18,18575,47,51,SILVER_IV,34,17,17298,25,43,SILVER_IV,15,18,27576,119,131,SILVER_IV,72,17,17933,25,41,BRONZE_I,0,18,18382,133,136,SILVER_IV,15,17,16886
0,245,243,SILVER_III,0,14,11585,293,250,GOLD_IV,65,13,10439,228,221,SILVER_IV,73,13,10427,114,123,BRONZE_III,45,13,10484,317,307,SILVER_IV,18,11,7822,128,159,BRONZE_I,57,10,6973,25,43,SILVER_IV,15,11,8381,117,154,BRONZE_I,20,12,9182,25,41,BRONZE_I,0,11,7709,72,54,BRONZE_II,56,9,5791
0,136,143,SILVER_IV,0,17,17696,236,233,SILVER_IV,32,17,17225,333,295,SILVER_III,51,16,16266,516,469,GOLD_IV,0,14,12644,72,79,SILVER_IV,39,14,12869,127,146,SILVER_IV,94,17,16873,25,43,SILVER_IV,15,17,18254,591,593,SILVER_IV,42,17,17317,25,41,BRONZE_I,0,14,12757,185,207,BRONZE_III,53,15,13274
0,154,152,SILVER_IV,52,18,20079,63,104,BRONZE_I,6,18,19048,53,47,SILVER_IV,75,18,20732,74,89,SILVER_IV,42,17,18139,389,367,SILVER_IV,57,17,17717,121,93,SILVER_II,45,17,17336,25,43,SILVER_IV,15,17,18201,108,108,SILVER_III,54,18,19631,25,41,BRONZE_I,0,14,12249,41,46,SILVER_IV,0,16,15508
1,11,10,BRONZE_IV,1,17,17868,200,202,BRONZE_II,43,14,13015,198,211,BRONZE_II,59,16,15291,22,30,BRONZE_II,41,14,12334,50,38,BRONZE_I,41,14,12277,177,197,SILVER_IV,0,15,13449,97,100,SILVER_III,22,14,11808,76,83,BRONZE_IV,69,15,14252,41,43,BRONZE_I,0,14,12959,190,163,SILVER_IV,0,14,12223
0,17,13,SILVER_I,1,11,7728,9,9,SILVER_IV,23,9,5656,46,39,GOLD_II,71,10,6574,12,12,SILVER_IV,67,8,4830,12,12,SILVER_IV,67,7,3911,3,8,BRONZE_I,36,4,1540,77,87,GOLD_IV,18,10,6128,19,24,SILVER_IV,91,9,5675,70,75,SILVER_I,100,8,4567,36,53,SILVER_IV,54,7,3868
0,77,86,GOLD_II,14,11,8322,10,10,SILVER_IV,26,11,7417,13,12,SILVER_I,20,11,8464,247,252,GOLD_IV,56,10,6521,35,31,GOLD_IV,0,9,5458,3,8,BRONZE_I,36,9,6039,3,8,BRONZE_I,36,8,4995,109,99,GOLD_III,20,10,6170,122,126,SILVER_III,41,8,4570,8,11,SILVER_III,43,7,3565
0,27,62,SILVER_III,0,17,16967,27,62,SILVER_III,0,16,15259,27,62,SILVER_III,0,18,19637,47,47,GOLD_III,82,16,15501,40,22,PLATINUM_II,58,14,12627,3,8,BRONZE_I,36,18,19167,4,8,SILVER_IV,52,14,12364,11,6,BRONZE_I,93,18,20127,7,7,SILVER_IV,74,14,12650,8,15,SILVER_II,32,15,13801
0,42,33,GOLD_IV,1,15,14103,9,5,SILVER_II,51,15,14414,23,24,GOLD_IV,0,13,11161,37,40,GOLD_IV,15,15,13756,65,65,SILVER_III,42,13,10952,3,8,BRONZE_I,36,15,13802,31,25,GOLD_IV,71,13,11124,36,35,GOLD_IV,0,12,9302,121,110,GOLD_II,15,12,9510,82,79,GOLD_III,60,11,8065
1,27,26,GOLD_IV,18,15,13165,20,18,SILVER_III,59,14,11482,18,19,SILVER_II,47,14,12392,108,115,GOLD_IV,57,13,10740,107,121,GOLD_III,0,12,8847,3,8,BRONZE_I,36,16,15907,39,39,SILVER_I,32,16,16380,11,12,SILVER_II,10,16,15410,11,12,SILVER_II,10,15,13910,22,25,GOLD_IV,38,14,12237
0,146,155,SILVER_I,74,17,16620,175,170,PLATINUM_IV,0,15,13927,25,28,SILVER_II,38,15,13440,65,64,GOLD_IV,0,14,12510,80,76,GOLD_III,1,12,9847,3,8,BRONZE_I,36,15,14421,406,358,PLATINUM_II,27,13,10044,46,52,SILVER_III,12,13,11411,108,115,GOLD_IV,57,13,10799,14,9,SILVER_I,9,11,7954
