rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
83,0,72,0,BRONZE_I,82,18,19531,83,0,72,0,BRONZE_I,82,16,16470,426,0,420,0,BRONZE_IV,47,16,15406,146,0,124,0,GOLD_I,43,18,18488,146,0,124,0,GOLD_I,43,17,17688,146,0,124,0,GOLD_I,43,17,17033,107,0,88,0,GOLD_II,0,18,20376,66,0,72,0,SILVER_II,15,17,17149,42,0,52,0,SILVER_II,29,16,15768,96,0,103,0,BRONZE_IV,64,15,13726
11,0,8,0,BRONZE_I,29,13,10786,37,0,57,0,SILVER_IV,32,12,9662,37,0,57,0,SILVER_IV,32,15,13688,7,0,15,0,BRONZE_II,4,14,11717,3,0,9,0,BRONZE_III,37,12,8918,3,0,9,0,BRONZE_III,37,15,14507,3,0,9,0,BRONZE_III,37,14,12833,66,0,72,0,SILVER_II,15,14,12220,72,0,71,0,SILVER_II,50,14,12823,96,0,103,0,BRONZE_IV,64,13,11185
261,0,238,0,SILVER_IV,62,16,15040,108,0,97,0,SILVER_III,60,14,12579,240,0,229,0,SILVER_IV,47,15,13057,27,0,33,0,BRONZE_I,100,15,13205,67,0,71,0,BRONZE_II,66,12,9705,66,0,72,0,SILVER_II,15,14,12433,80,0,87,0,SILVER_IV,13,12,9003,96,0,93,0,SILVER_III,67,13,10411,30,0,31,0,BRONZE_II,16,11,7399,96,0,103,0,BRONZE_IV,64,13,10701
42,0,63,0,IRON_II,33,14,12618,35,0,56,0,BRONZE_IV,0,14,11881,51,0,56,0,IRON_I,0,13,10283,155,0,150,0,BRONZE_IV,14,12,9297,115,0,104,0,IRON_I,14,12,9805,69,0,76,0,BRONZE_IV,50,8,4549,71,0,98,0,IRON_III,34,10,6707,46,0,80,0,IRON_I,39,11,8540,48,0,60,0,BRONZE_IV,23,12,8774,22,0,21,0,IRON_II,47,11,7424
72,0,73,0,IRON_I,0,13,10963,49,0,45,0,BRONZE_III,67,11,8340,109,0,100,0,IRON_I,75,12,9857,695,0,771,0,IRON_IV,87,10,7248,92,0,106,0,BRONZE_IV,75,10,6419,69,0,76,0,BRONZE_IV,50,8,4272,119,0,127,0,IRON_II,75,8,4752,268,0,253,0,BRONZE_IV,63,11,8145,79,0,61,0,IRON_I,42,10,6441,64,0,109,0,IRON_IV,47,8,4505
186,0,207,0,BRONZE_III,75,14,13019,26,0,29,0,BRONZE_IV,77,14,11601,120,0,108,0,BRONZE_II,1,14,11445,266,0,285,0,BRONZE_III,47,13,9991,218,0,215,0,BRONZE_III,90,12,8811,69,0,76,0,BRONZE_IV,50,10,6880,127,0,161,0,BRONZE_IV,28,12,8659,5,0,17,0,IRON_I,33,13,10192,108,0,130,0,BRONZE_III,75,13,10372,264,0,263,0,BRONZE_II,20,11,8103
313,0,318,0,IRON_IV,80,17,17625,63,0,69,0,BRONZE_II,0,14,11884,24,0,37,0,BRONZE_IV,30,16,16433,23,0,35,0,BRONZE_II,3,15,14517,19,0,55,0,IRON_IV,0,10,7188,69,0,76,0,BRONZE_IV,50,16,16461,96,0,101,0,BRONZE_IV,72,18,20934,211,0,242,0,BRONZE_III,27,15,14080,29,0,61,0,IRON_IV,75,15,13970,700,0,664,0,BRONZE_III,86,14,11677
74,0,88,0,IRON_IV,53,12,8912,27,0,36,0,BRONZE_III,75,11,7453,3,0,21,0,IRON_II,46,10,6882,278,0,292,0,BRONZE_III,72,11,7588,58,0,66,0,BRONZE_III,16,10,7114,69,0,76,0,BRONZE_IV,50,10,6755,72,0,91,0,BRONZE_III,29,11,7353,176,0,238,0,BRONZE_III,7,9,5832,145,0,143,0,BRONZE_IV,25,7,3960,14,0,63,0,IRON_IV,0,7,3486
19,0,26,0,BRONZE_IV,42,18,18894,186,0,146,0,SILVER_II,30,16,15183,152,0,127,0,SILVER_IV,15,18,19137,165,0,145,0,SILVER_IV,35,15,14446,123,0,97,0,BRONZE_II,13,16,16004,123,0,97,0,BRONZE_II,13,18,20581,82,0,87,0,BRONZE_II,0,18,18897,175,0,177,0,BRONZE_III,0,18,19966,364,0,386,0,SILVER_IV,0,18,22641,142,0,155,0,BRONZE_II,1,17,17088
19,0,26,0,BRONZE_IV,42,18,25680,433,0,423,0,BRONZE_III,93,18,21310,148,0,164,0,BRONZE_I,0,18,24943,19,0,29,0,BRONZE_IV,75,18,21120,20,0,27,0,IRON_I,3,17,17551,8,0,17,0,BRONZE_IV,0,18,26980,25,0,33,0,BRONZE_III,63,18,30401,93,0,92,0,SILVER_IV,26,18,28236,32,0,31,0,BRONZE_III,39,18,28441,74,0,80,0,BRONZE_II,82,18,20276
