main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
394,0,353,0,DIAMOND_II,59,16,15746,468,0,429,0,DIAMOND_II,43,15,13357,299,0,313,0,DIAMOND_I,8,15,13529,402,0,378,0,DIAMOND_II,3,15,13697,127,0,113,0,DIAMOND_II,52,14,12100,143,0,119,0,DIAMOND_I,75,18,20393,545,0,516,0,DIAMOND_I,77,18,21842,85,0,75,0,DIAMOND_II,20,16,16388,151,0,133,0,DIAMOND_I,30,17,18266,225,0,214,0,DIAMOND_I,24,14,11871
394,0,353,0,DIAMOND_II,59,12,8617,92,0,84,0,DIAMOND_II,32,10,6943,181,0,170,0,MASTER_I,1,10,6730,208,0,197,0,DIAMOND_I,0,9,5111,819,0,745,0,DIAMOND_I,100,9,5641,371,0,333,0,DIAMOND_II,54,10,6481,338,0,281,0,DIAMOND_III,51,9,5300,91,0,79,0,DIAMOND_II,0,8,4903,95,0,100,0,DIAMOND_II,0,8,4856,345,0,309,0,DIAMOND_I,90,7,3328
394,0,353,0,DIAMOND_II,59,9,6108,299,0,268,0,DIAMOND_II,75,10,7138,394,0,391,0,DIAMOND_I,0,11,8312,490,0,480,0,DIAMOND_III,45,9,5727,375,0,382,0,DIAMOND_I,43,9,5198,214,0,185,0,MASTER_I,1,12,9835,274,0,281,0,DIAMOND_I,0,11,8016,91,0,76,0,DIAMOND_I,15,11,8338,193,0,161,0,DIAMOND_I,45,12,9934,57,0,55,0,DIAMOND_I,52,10,6464
394,0,353,0,DIAMOND_II,59,14,12373,307,0,294,0,DIAMOND_I,0,10,6243,406,0,401,0,DIAMOND_III,92,12,9211,106,0,94,0,DIAMOND_II,79,10,6849,185,0,138,0,DIAMOND_I,6,10,6525,617,0,597,0,DIAMOND_I,83,14,12050,274,0,281,0,DIAMOND_I,0,12,9739,298,0,286,0,DIAMOND_II,46,13,10201,193,0,161,0,DIAMOND_I,45,13,10830,272,0,250,0,DIAMOND_II,31,11,8078
394,0,353,0,DIAMOND_II,59,13,9986,307,0,268,0,DIAMOND_I,1,11,7796,333,0,284,0,DIAMOND_II,75,11,8286,381,0,341,0,DIAMOND_II,75,11,7627,279,0,234,0,DIAMOND_I,2,9,5963,208,0,206,0,DIAMOND_I,1,15,14283,177,0,171,0,DIAMOND_I,21,13,10832,275,0,276,0,DIAMOND_I,51,14,12148,104,0,71,0,DIAMOND_II,0,13,10044,1057,0,1033,0,DIAMOND_II,74,11,8028
65,0,47,0,DIAMOND_IV,27,17,16761,266,0,270,0,MASTER_I,1,16,15959,413,0,393,0,DIAMOND_III,40,15,14397,244,0,243,0,DIAMOND_II,30,15,13377,126,0,132,0,DIAMOND_II,41,13,10802,128,0,107,0,DIAMOND_IV,89,17,16989,158,0,154,0,DIAMOND_II,0,16,16408,427,0,415,0,DIAMOND_III,35,17,18058,116,0,106,0,DIAMOND_I,15,17,18297,328,0,329,0,MASTER_I,130,14,12849
79,0,71,0,DIAMOND_II,28,16,14758,69,0,79,0,DIAMOND_II,54,15,14059,125,0,116,0,DIAMOND_I,28,16,14799,692,0,720,0,DIAMOND_II,12,13,10297,126,0,132,0,DIAMOND_II,41,13,10928,312,0,301,0,DIAMOND_II,41,18,19313,317,0,277,0,DIAMOND_II,75,17,17263,222,0,209,0,DIAMOND_II,0,17,18123,311,0,262,0,DIAMOND_I,33,16,15677,446,0,413,0,DIAMOND_I,16,15,13326
148,0,128,0,DIAMOND_I,31,15,14515,407,0,378,0,DIAMOND_I,0,14,12279,154,0,127,0,DIAMOND_I,59,14,13004,158,0,174,0,DIAMOND_I,0,13,10858,126,0,132,0,DIAMOND_II,41,12,9228,106,0,95,0,DIAMOND_III,78,12,9138,246,0,264,0,DIAMOND_I,0,12,9884,175,0,179,0,DIAMOND_III,81,14,12835,310,0,316,0,DIAMOND_III,32,14,12174,135,0,128,0,DIAMOND_I,47,11,8402
206,0,187,0,DIAMOND_I,0,14,11455,130,0,119,0,DIAMOND_II,39,13,11173,120,0,131,0,DIAMOND_II,46,12,9696,252,0,258,0,DIAMOND_II,60,12,9445,126,0,132,0,DIAMOND_II,41,11,7315,360,0,323,0,DIAMOND_I,52,15,14593,278,0,284,0,DIAMOND_II,34,14,12544,70,0,58,0,DIAMOND_I,57,15,14355,613,0,592,0,MASTER_I,58,14,11964,150,0,154,0,MASTER_I,30,13,10651
214,0,185,0,MASTER_I,1,11,8419,176,0,170,0,DIAMOND_II,50,10,7000,141,0,133,0,DIAMOND_II,36,12,8649,34,0,18,0,DIAMOND_II,36,11,7319,126,0,132,0,DIAMOND_II,41,7,3900,128,0,141,0,DIAMOND_III,36,10,6319,102,0,88,0,MASTER_I,1,11,7309,316,0,325,0,DIAMOND_III,60,9,5545,200,0,172,0,DIAMOND_I,9,8,4830,100,0,77,0,DIAMOND_III,7,8,4192
588,0,570,0,DIAMOND_II,3,18,20341,402,0,376,0,DIAMOND_II,62,15,14340,223,0,211,0,DIAMOND_III,61,17,16879,200,0,201,0,DIAMOND_III,75,16,16470,237,0,200,0,DIAMOND_II,40,14,12827,265,0,231,0,DIAMOND_II,17,18,19803,127,0,115,0,DIAMOND_II,42,17,16952,184,0,177,0,DIAMOND_II,15,18,19372,127,0,106,0,DIAMOND_I,24,16,15343,423,0,414,0,DIAMOND_II,57,15,13401
333,0,314,0,DIAMOND_I,26,16,14849,65,0,41,0,DIAMOND_III,53,15,13585,37,0,17,0,DIAMOND_IV,1,14,12839,385,0,394,0,DIAMOND_II,0,13,10541,51,0,48,0,PLATINUM_I,100,13,10676,265,0,231,0,DIAMOND_II,17,11,7670,79,0,68,0,DIAMOND_II,16,13,10776,247,0,210,0,DIAMOND_II,42,13,10273,180,0,158,0,DIAMOND_II,78,15,14274,182,0,151,0,DIAMOND_II,25,12,9079
