rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
211,0,228,0,PLATINUM_II,0,18,20707,73,0,77,0,PLATINUM_IV,17,18,19037,115,0,136,0,GOLD_III,31,18,19227,87,0,88,0,GOLD_I,34,16,16471,163,0,141,0,PLATINUM_III,6,16,15412,157,0,125,0,GOLD_III,16,17,16567,11,0,12,0,GOLD_I,76,16,14940,186,0,187,0,PLATINUM_IV,34,17,16989,71,0,51,0,GOLD_III,37,17,16519,67,0,54,0,PLATINUM_IV,53,14,12919
28,0,27,0,PLATINUM_IV,75,11,7893,182,0,189,0,PLATINUM_IV,36,9,5596,183,0,179,0,GOLD_III,60,11,7309,87,0,88,0,GOLD_I,34,8,4821,69,0,63,0,PLATINUM_IV,31,8,4977,157,0,125,0,GOLD_III,16,9,6026,11,0,12,0,GOLD_I,76,8,4854,432,0,417,0,GOLD_I,37,10,6760,121,0,106,0,PLATINUM_IV,53,7,3185,116,0,101,0,PLATINUM_IV,0,9,5162
28,0,27,0,PLATINUM_IV,75,18,19295,183,0,179,0,GOLD_III,60,18,21203,33,0,38,0,GOLD_II,90,18,22107,34,0,43,0,GOLD_I,69,18,23021,133,0,114,0,PLATINUM_IV,0,17,17364,157,0,125,0,GOLD_III,16,18,20432,11,0,12,0,GOLD_I,76,18,19084,93,0,90,0,PLATINUM_IV,0,18,19036,121,0,106,0,PLATINUM_IV,53,18,19395,47,0,40,0,GOLD_I,51,17,17999
300,0,297,0,PLATINUM_IV,15,15,13717,137,0,124,0,PLATINUM_IV,6,16,14706,422,0,412,0,PLATINUM_IV,0,13,11100,303,0,322,0,PLATINUM_IV,0,13,10355,294,0,272,0,PLATINUM_IV,0,12,9587,157,0,125,0,GOLD_III,16,13,10273,11,0,12,0,GOLD_I,76,12,8657,127,0,122,0,PLATINUM_IV,51,14,12286,294,0,300,0,PLATINUM_IV,11,12,8664,147,0,131,0,PLATINUM_III,78,10,7140
71,0,76,0,BRONZE_I,100,17,16570,28,0,27,0,BRONZE_I,99,16,16111,86,0,97,0,GOLD_III,61,17,17862,336,0,311,0,SILVER_II,73,16,15735,39,0,40,0,SILVER_I,17,15,14400,39,0,40,0,SILVER_I,17,17,17394,126,0,127,0,GOLD_III,27,15,14340,348,0,327,0,SILVER_III,75,16,16472,385,0,376,0,SILVER_I,35,14,12977,271,0,273,0,GOLD_IV,38,13,11179
314,0,317,0,GOLD_IV,0,17,17423,106,0,104,0,SILVER_II,74,15,14187,825,0,846,0,SILVER_III,41,13,11004,74,0,70,0,GOLD_IV,26,14,11668,137,0,133,0,GOLD_IV,3,13,10525,137,0,133,0,GOLD_IV,3,15,13914,126,0,127,0,GOLD_III,27,13,11078,22,0,31,0,GOLD_IV,19,15,14493,36,0,21,0,PLATINUM_III,1,14,11743,205,0,217,0,GOLD_IV,26,12,8882
148,0,132,0,GOLD_III,62,11,8194,118,0,101,0,GOLD_III,71,10,6286,126,0,118,0,GOLD_IV,70,10,6321,305,0,272,0,PLATINUM_IV,1,10,6623,220,0,214,0,GOLD_III,76,9,5772,245,0,246,0,GOLD_IV,0,10,7209,126,0,127,0,GOLD_III,27,7,4012,109,0,96,0,GOLD_III,26,8,4940,244,0,222,0,GOLD_III,19,9,6053,19,0,43,0,SILVER_I,21,8,4256
92,0,84,0,GOLD_I,17,18,19609,101,0,83,0,PLATINUM_II,17,14,12138,11,0,5,0,SILVER_II,72,15,14142,11,0,5,0,SILVER_II,72,14,11814,15,0,22,0,BRONZE_I,71,13,10221,15,0,22,0,BRONZE_I,71,15,14210,126,0,127,0,GOLD_III,27,14,12837,15,0,22,0,BRONZE_I,71,13,10560,5,0,9,0,BRONZE_III,99,13,9975,154,0,157,0,GOLD_III,21,12,8845
80,0,75,0,GOLD_III,68,11,7663,127,0,109,0,SILVER_III,65,10,6639,33,0,31,0,GOLD_III,51,11,7905,128,0,117,0,PLATINUM_IV,0,9,5475,128,0,117,0,PLATINUM_IV,0,9,5112,106,0,100,0,GOLD_III,12,11,7582,22,0,13,0,GOLD_I,1,8,4367,22,0,13,0,GOLD_I,1,9,5711,29,0,23,0,GOLD_IV,72,7,3501,9,0,18,0,SILVER_III,88,7,3947
92,0,95,0,GOLD_III,40,15,14689,212,0,205,0,GOLD_II,93,16,15005,346,0,321,0,GOLD_III,17,15,13159,176,0,165,0,GOLD_I,0,13,10225,430,0,439,0,GOLD_IV,25,12,9470,67,0,88,0,GOLD_IV,75,13,10367,100,0,96,0,GOLD_III,63,13,10081,56,0,57,0,GOLD_IV,49,13,10036,248,0,276,0,GOLD_II,0,12,9007,64,0,66,0,GOLD_III,44,11,7597
284,0,262,0,GOLD_III,15,11,8405,100,0,96,0,GOLD_III,63,11,7776,46,0,36,0,GOLD_I,6,12,8912,22,0,27,0,GOLD_IV,1,12,8691,80,0,81,0,GOLD_III,66,10,6370,47,0,43,0,GOLD_IV,75,15,13307,219,0,222,0,GOLD_IV,42,14,11553,49,0,24,0,GOLD_IV,35,15,13061,120,0,106,0,GOLD_II,45,12,9537,64,0,66,0,GOLD_III,44,12,9541
140,0,125,0,GOLD_III,0,5,2228,132,0,125,0,GOLD_IV,12,11,7613,143,0,143,0,GOLD_III,75,11,8464,166,0,156,0,GOLD_III,0,8,4861,218,0,213,0,GOLD_III,62,9,5198,131,0,110,0,GOLD_II,15,12,9225,339,0,320,0,GOLD_IV,52,9,5643,183,0,187,0,GOLD_IV,52,11,8283,41,0,33,0,GOLD_IV,73,9,5950,64,0,66,0,GOLD_III,44,7,3461
457,0,451,0,SILVER_IV,70,14,11659,419,0,383,0,GOLD_I,12,14,11907,328,0,342,0,GOLD_IV,0,14,12464,259,0,261,0,GOLD_IV,14,12,9514,238,0,227,0,GOLD_IV,0,13,10210,98,0,88,0,GOLD_III,70,16,15718,321,0,316,0,GOLD_IV,75,15,13882,158,0,125,0,GOLD_IV,79,17,16679,589,0,542,0,GOLD_I,45,15,14063,64,0,66,0,GOLD_III,44,13,10150
651,0,636,0,GOLD_III,31,15,14466,166,0,185,0,GOLD_III,0,15,14377,152,0,155,0,GOLD_IV,52,15,13298,289,0,302,0,GOLD_III,75,14,12528,271,0,269,0,GOLD_III,61,13,11430,254,0,247,0,GOLD_IV,75,14,11669,202,0,198,0,GOLD_III,91,13,10164,186,0,156,0,GOLD_II,44,13,10498,207,0,213,0,GOLD_IV,15,13,10225,64,0,66,0,GOLD_III,44,11,7475
144,0,162,0,PLATINUM_IV,38,16,15243,23,0,26,0,GOLD_IV,84,16,15004,20,0,15,0,GOLD_IV,42,12,9393,12,0,9,0,GOLD_III,75,13,10510,16,0,8,0,GOLD_IV,18,15,14347,13,0,20,0,GOLD_III,77,13,10990,13,0,16,0,GOLD_II,8,12,8757,50,0,52,0,GOLD_II,40,13,10930,49,0,55,0,GOLD_I,61,12,9293,19,0,16,0,GOLD_IV,53,11,7476
49,0,50,0,GOLD_I,84,18,21025,40,0,27,0,GOLD_II,18,17,18033,50,0,64,0,SILVER_I,12,17,18260,110,0,115,0,GOLD_III,39,17,16922,30,0,35,0,GOLD_II,1,15,13311,13,0,20,0,GOLD_III,77,18,18587,20,0,17,0,SILVER_I,63,18,19627,50,0,52,0,GOLD_II,40,18,21720,58,0,48,0,PLATINUM_III,8,18,18555,30,0,37,0,GOLD_IV,0,17,17652
49,0,29,0,GOLD_II,0,18,21518,83,0,75,0,GOLD_II,26,18,20711,79,0,50,0,GOLD_I,100,18,20934,499,0,507,0,GOLD_III,51,18,20587,69,0,72,0,GOLD_I,14,16,15022,13,0,20,0,GOLD_III,77,17,17533,343,0,349,0,GOLD_I,62,16,16213,171,0,185,0,GOLD_IV,15,16,16122,109,0,111,0,GOLD_II,46,17,16538,396,0,397,0,PLATINUM_IV,6,14,12469
247,0,266,0,GOLD_II,24,15,14035,304,0,320,0,PLATINUM_IV,55,14,12707,195,0,182,0,PLATINUM_III,43,15,13413,257,0,237,0,PLATINUM_IV,12,14,12744,345,0,328,0,GOLD_II,20,13,10241,13,0,20,0,GOLD_III,77,13,10964,194,0,196,0,GOLD_III,16,11,7966,250,0,247,0,GOLD_IV,9,12,9116,68,0,61,0,GOLD_II,13,12,9728,256,0,250,0,GOLD_IV,42,12,9711
173,0,160,0,PLATINUM_IV,72,17,16911,45,0,58,0,GOLD_IV,95,16,16195,51,0,51,0,PLATINUM_III,6,18,20095,76,0,95,0,PLATINUM_IV,0,18,19950,57,0,55,0,GOLD_II,63,14,12036,13,0,20,0,GOLD_III,77,16,16188,58,0,37,0,PLATINUM_II,48,16,16055,129,0,106,0,PLATINUM_IV,78,16,15555,69,0,59,0,PLATINUM_IV,1,16,15454,157,0,153,0,GOLD_I,21,13,11412
73,0,74,0,GOLD_IV,32,15,13288,46,0,55,0,GOLD_II,80,14,12349,186,0,176,0,GOLD_II,4,15,14130,81,0,85,0,GOLD_IV,45,15,13814,79,0,88,0,GOLD_III,36,12,8687,476,0,501,0,GOLD_III,75,15,14640,105,0,86,0,GOLD_II,98,15,14655,175,0,153,0,GOLD_III,98,15,14573,443,0,433,0,GOLD_I,15,15,14155,145,0,152,0,GOLD_IV,54,15,14064
68,0,101,0,GOLD_IV,75,16,16122,206,0,216,0,GOLD_III,4,16,15538,94,0,113,0,GOLD_I,0,15,13750,81,0,85,0,GOLD_IV,45,13,10919,79,0,88,0,GOLD_III,36,12,9031,53,0,63,0,GOLD_IV,69,14,11941,130,0,130,0,GOLD_III,40,14,11912,379,0,371,0,GOLD_III,92,13,11415,443,0,433,0,GOLD_I,15,12,9478,145,0,152,0,GOLD_IV,54,11,8144
68,0,101,0,GOLD_IV,75,18,20562,118,0,123,0,GOLD_IV,92,17,17764,422,0,408,0,GOLD_II,31,18,18526,81,0,85,0,GOLD_IV,45,18,19484,79,0,88,0,GOLD_III,36,15,14588,108,0,128,0,GOLD_IV,20,17,18216,62,0,51,0,GOLD_III,1,15,13921,65,0,57,0,GOLD_III,10,18,24121,229,0,220,0,GOLD_III,6,17,16866,273,0,282,0,GOLD_III,43,14,12137
133,0,130,0,GOLD_III,85,16,14870,101,0,105,0,GOLD_III,13,16,15781,20,0,32,0,SILVER_II,94,16,15950,24,0,42,0,GOLD_III,52,16,15458,79,0,88,0,GOLD_III,36,14,12283,444,0,406,0,GOLD_III,66,18,19856,98,0,91,0,GOLD_III,79,17,16832,390,0,393,0,GOLD_III,32,16,15665,95,0,96,0,GOLD_II,26,17,18342,301,0,292,0,GOLD_III,16,15,14245
849,0,856,0,GOLD_III,29,12,9579,44,0,33,0,GOLD_IV,75,11,7515,15,0,11,0,SILVER_II,53,11,7889,28,0,25,0,GOLD_IV,39,10,7259,79,0,88,0,GOLD_III,36,10,6952,575,0,552,0,GOLD_IV,53,13,10826,171,0,175,0,GOLD_II,79,13,10514,32,0,20,0,GOLD_IV,1,13,11312,27,0,20,0,GOLD_IV,1,11,8572,121,0,130,0,GOLD_III,58,11,8219
54,0,53,0,GOLD_III,80,18,21089,68,0,63,0,GOLD_I,23,18,20586,140,0,139,0,GOLD_III,51,16,15797,168,0,149,0,GOLD_II,93,18,21712,460,0,417,0,GOLD_II,89,17,16603,56,0,65,0,GOLD_IV,84,17,17819,292,0,267,0,GOLD_II,60,16,14780,170,0,176,0,GOLD_II,41,17,17788,45,0,48,0,GOLD_I,0,16,15572,96,0,77,0,GOLD_II,64,15,13975
379,0,346,0,PLATINUM_III,12,15,13070,349,0,342,0,GOLD_IV,59,14,12496,202,0,190,0,GOLD_II,65,13,10365,809,0,819,0,PLATINUM_IV,22,11,8135,75,0,70,0,GOLD_II,10,11,7491,109,0,102,0,GOLD_II,88,13,10298,163,0,191,0,GOLD_IV,0,9,5809,623,0,610,0,GOLD_I,27,13,10003,85,0,87,0,GOLD_III,9,12,9582,111,0,115,0,GOLD_III,53,10,6415
308,0,306,0,GOLD_III,15,14,12089,183,0,180,0,GOLD_IV,14,12,9221,232,0,234,0,GOLD_III,62,13,10071,208,0,210,0,GOLD_IV,71,12,8780,191,0,191,0,GOLD_II,47,10,7243,223,0,218,0,PLATINUM_IV,1,16,16428,122,0,103,0,PLATINUM_IV,1,12,9858,644,0,637,0,GOLD_II,0,13,10894,85,0,87,0,GOLD_III,9,13,10249,370,0,339,0,GOLD_III,13,12,8928
145,0,138,0,GOLD_III,59,18,19474,111,0,98,0,PLATINUM_IV,1,18,20544,155,0,154,0,GOLD_II,14,17,18092,481,0,486,0,GOLD_IV,13,18,18461,325,0,314,0,GOLD_III,59,16,15693,211,0,202,0,GOLD_I,10,16,16297,133,0,121,0,GOLD_III,74,16,15929,202,0,202,0,PLATINUM_IV,25,18,20052,85,0,87,0,GOLD_III,9,15,14264,75,0,73,0,GOLD_II,60,15,14161
173,0,198,0,GOLD_II,52,16,14869,284,0,281,0,GOLD_III,70,15,14054,196,0,186,0,GOLD_II,40,15,13103,224,0,227,0,GOLD_I,100,15,13807,60,0,44,0,GOLD_III,74,13,10337,255,0,253,0,PLATINUM_IV,0,12,9879,471,0,428,0,PLATINUM_IV,89,13,10403,142,0,139,0,GOLD_IV,84,14,11946,85,0,87,0,GOLD_III,9,14,11631,127,0,116,0,GOLD_II,53,12,9309
