ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
113,0,100,0,GOLD_III,13,16,15915,332,0,334,0,SILVER_IV,57,16,15854,249,0,260,0,GOLD_III,29,17,18030,27,0,32,0,GOLD_IV,0,15,14375,161,0,155,0,SILVER_II,6,16,14938,178,0,177,0,GOLD_III,0,18,19976,155,0,159,0,GOLD_III,32,18,18984,153,0,164,0,GOLD_IV,0,16,16448,125,0,100,0,GOLD_IV,15,18,22246,214,0,205,0,GOLD_IV,0,15,13747
161,0,155,0,SILVER_II,6,14,12985,291,0,269,0,GOLD_II,3,17,17210,158,0,163,0,GOLD_IV,0,17,18315,27,0,32,0,GOLD_IV,0,16,16347,235,0,212,0,GOLD_III,64,16,16370,253,0,252,0,GOLD_III,5,17,17869,365,0,345,0,GOLD_II,60,18,19726,153,0,167,0,GOLD_II,43,17,17330,364,0,359,0,SILVER_I,75,16,16196,97,0,73,0,GOLD_III,91,16,15208
161,0,155,0,SILVER_II,6,16,15350,23,0,12,0,SILVER_II,63,18,19931,41,0,33,0,GOLD_III,37,17,17156,27,0,32,0,GOLD_IV,0,18,18930,25,0,29,0,SILVER_IV,18,15,14538,123,0,121,0,PLATINUM_IV,26,18,18588,241,0,245,0,GOLD_IV,47,16,16335,82,0,65,0,GOLD_II,11,18,19362,230,0,187,0,GOLD_III,60,16,14936,492,0,497,0,SILVER_III,67,13,11423
161,0,155,0,SILVER_II,6,12,8722,233,0,224,0,GOLD_IV,24,12,9603,61,0,71,0,GOLD_IV,65,11,8066,27,0,32,0,GOLD_IV,0,10,7150,305,0,314,0,GOLD_IV,42,10,6937,165,0,162,0,GOLD_IV,40,13,10925,92,0,79,0,GOLD_IV,20,14,12004,301,0,302,0,GOLD_IV,8,13,11399,324,0,305,0,PLATINUM_IV,0,12,9478,300,0,298,0,SILVER_I,30,12,9446
248,0,222,0,GOLD_I,19,15,13330,398,0,386,0,GOLD_III,30,14,12866,87,0,134,0,SILVER_III,0,13,10529,27,0,32,0,GOLD_IV,0,13,11424,161,0,155,0,SILVER_II,6,13,10449,210,0,230,0,GOLD_IV,64,16,15584,259,0,256,0,GOLD_II,77,16,15752,24,0,29,0,SILVER_II,27,15,14674,186,0,160,0,GOLD_IV,24,13,10069,217,0,209,0,GOLD_IV,13,12,8937
58,0,63,0,SILVER_I,100,17,17718,195,0,184,0,GOLD_IV,51,16,15226,136,0,151,0,GOLD_IV,75,18,18460,129,0,113,0,GOLD_III,36,16,16128,33,0,21,0,SILVER_I,100,15,13043,301,0,304,0,GOLD_III,9,15,13517,301,0,309,0,GOLD_III,11,15,13271,113,0,117,0,GOLD_IV,47,14,12059,281,0,291,0,GOLD_III,39,15,14523,386,0,358,0,GOLD_IV,75,13,10952
21,0,30,0,GOLD_IV,29,8,4631,35,0,44,0,SILVER_I,46,8,4587,343,0,339,0,GOLD_II,23,8,4539,128,0,128,0,GOLD_III,54,7,3802,202,0,196,0,GOLD_III,14,5,2043,101,0,121,0,GOLD_III,17,9,5100,354,0,364,0,GOLD_III,15,6,2883,254,0,230,0,GOLD_IV,48,7,3325,1507,0,1496,0,GOLD_IV,35,6,3015,386,0,358,0,GOLD_IV,75,2,499
62,0,45,0,GOLD_IV,75,16,15451,89,0,95,0,GOLD_III,82,14,12228,731,0,696,0,GOLD_II,0,14,12995,142,0,152,0,GOLD_III,71,14,12735,87,0,79,0,GOLD_II,0,13,10773,650,0,636,0,GOLD_III,15,14,12950,113,0,109,0,GOLD_III,5,13,10195,11,0,17,0,GOLD_IV,40,14,11460,82,0,65,0,GOLD_III,55,11,8562,386,0,358,0,GOLD_IV,75,10,6567
131,0,138,0,GOLD_III,57,15,13244,273,0,235,0,GOLD_II,55,15,14345,186,0,176,0,GOLD_II,4,16,15115,298,0,273,0,GOLD_II,44,14,12679,121,0,123,0,GOLD_IV,18,13,10494,627,0,609,0,GOLD_III,29,14,13002,256,0,254,0,GOLD_II,0,15,13633,190,0,187,0,GOLD_II,0,14,12362,181,0,175,0,GOLD_III,18,14,11746,386,0,358,0,GOLD_IV,75,12,9585
31,0,28,0,GOLD_IV,88,14,12140,67,0,88,0,GOLD_III,46,16,15494,83,0,72,0,GOLD_II,0,15,13463,143,0,155,0,GOLD_III,44,14,12271,410,0,425,0,GOLD_III,75,12,9804,74,0,84,0,GOLD_III,26,15,13281,113,0,135,0,GOLD_III,73,13,10189,166,0,186,0,GOLD_III,16,14,12038,308,0,322,0,GOLD_III,47,13,10678,386,0,358,0,GOLD_IV,75,12,9725
454,0,419,0,GOLD_IV,14,17,17733,50,0,63,0,SILVER_II,0,18,18498,656,0,601,0,GOLD_IV,14,18,20963,47,0,60,0,SILVER_I,31,17,17912,278,0,268,0,GOLD_IV,66,16,15648,97,0,102,0,GOLD_IV,37,16,16396,98,0,93,0,SILVER_II,61,15,14618,340,0,338,0,GOLD_IV,7,16,15809,155,0,153,0,SILVER_I,57,15,14411,295,0,304,0,GOLD_IV,19,15,13197
100,0,109,0,GOLD_III,0,13,11086,153,0,146,0,GOLD_II,29,13,10646,24,0,12,0,GOLD_I,17,14,12206,255,0,249,0,GOLD_I,100,12,9524,20,0,19,0,GOLD_I,53,12,8677,87,0,81,0,GOLD_I,26,13,10487,13,0,26,0,GOLD_IV,28,9,5959,39,0,38,0,GOLD_II,54,9,5423,42,0,52,0,GOLD_IV,75,10,7125,37,0,28,0,GOLD_I,37,9,5349
201,0,207,0,GOLD_III,13,13,11208,154,0,145,0,GOLD_IV,25,15,14273,257,0,231,0,PLATINUM_IV,70,17,18000,171,0,186,0,GOLD_II,23,17,17250,61,0,64,0,GOLD_II,97,15,13515,39,0,38,0,GOLD_II,54,17,17501,13,0,26,0,GOLD_IV,28,11,7934,76,0,84,0,GOLD_II,30,15,14217,52,0,37,0,PLATINUM_III,56,14,12546,244,0,245,0,GOLD_IV,6,10,7162
