result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,80,83,DIAMOND_II,75,18,21731,97,94,PLATINUM_IV,15,17,17424,45,55,GOLD_II,33,18,20339,52,59,PLATINUM_IV,0,18,21417,171,147,GOLD_I,8,16,16259,3,9,SILVER_I,20,18,19394,286,269,PLATINUM_IV,53,16,15589,14,9,SILVER_I,100,17,16506,90,89,PLATINUM_I,75,16,15987,11,6,GOLD_II,68,14,12605
1,3,9,SILVER_I,20,15,13453,108,98,PLATINUM_IV,13,13,10725,28,22,GOLD_IV,70,14,12811,28,22,GOLD_IV,70,13,11376,73,79,GOLD_IV,56,12,8685,3,9,SILVER_I,20,13,10870,33,34,GOLD_II,80,16,15032,286,269,PLATINUM_IV,53,15,13821,14,9,SILVER_I,100,15,14183,30,26,GOLD_III,14,15,13995
0,9,8,SILVER_I,74,17,17050,27,30,GOLD_IV,4,14,12880,14,11,GOLD_IV,1,17,16828,25,18,GOLD_IV,1,14,12322,70,89,SILVER_III,18,12,9383,3,9,SILVER_I,20,12,8855,14,17,SILVER_I,35,15,13617,28,21,GOLD_I,0,13,10757,24,23,GOLD_IV,59,14,12914,35,38,GOLD_IV,0,13,10252
0,68,55,GOLD_III,23,17,16829,11,4,GOLD_I,0,17,16982,30,21,GOLD_II,5,18,18928,42,26,PLATINUM_IV,22,17,16618,42,45,GOLD_I,94,15,13450,3,9,SILVER_I,20,13,10223,23,22,GOLD_IV,1,15,14231,39,37,GOLD_II,74,15,13181,19,10,GOLD_II,71,16,15048,25,20,GOLD_II,75,15,14263
0,36,32,GOLD_III,57,16,16323,67,76,GOLD_II,0,16,16067,128,135,GOLD_IV,62,18,19293,114,113,GOLD_III,75,16,16083,33,55,GOLD_IV,16,15,13362,3,9,SILVER_I,20,14,12033,27,29,GOLD_IV,25,15,14666,25,16,GOLD_IV,64,16,15782,73,53,PLATINUM_II,87,18,21997,55,37,GOLD_I,92,17,17476
0,29,35,GOLD_III,15,8,4352,27,21,GOLD_IV,54,8,4280,57,52,GOLD_II,21,8,4462,112,92,PLATINUM_IV,76,6,2858,4,7,SILVER_II,72,7,3743,3,9,SILVER_I,20,6,2990,86,72,GOLD_II,63,5,2238,102,99,PLATINUM_IV,59,8,4662,50,47,GOLD_IV,50,1,0,21,17,GOLD_IV,0,6,3175
0,30,44,GOLD_IV,29,17,16525,179,175,PLATINUM_IV,1,16,16033,45,49,GOLD_II,57,17,17685,130,126,GOLD_II,42,14,12346,14,18,SILVER_I,46,14,12032,3,9,SILVER_I,20,12,9930,55,61,GOLD_III,0,15,13161,21,25,GOLD_III,24,16,14939,254,276,SILVER_II,24,15,13594,32,27,GOLD_IV,16,13,11180
1,165,165,GOLD_IV,67,18,19192,143,153,GOLD_IV,46,18,20880,400,404,SILVER_I,5,18,23035,150,169,GOLD_IV,10,17,17221,49,60,GOLD_IV,0,17,17719,54,52,SILVER_I,51,18,24380,529,524,GOLD_III,2,18,23476,247,247,GOLD_IV,58,18,18374,387,366,GOLD_III,5,18,19525,208,221,GOLD_IV,33,18,20561
0,21,24,SILVER_I,9,15,14297,16,10,BRONZE_I,100,15,13042,39,43,GOLD_I,21,15,13600,14,10,BRONZE_I,23,14,12679,14,10,BRONZE_I,23,13,10400,54,52,SILVER_I,51,13,10235,40,39,GOLD_III,44,14,11962,261,225,PLATINUM_III,0,14,11996,26,26,SILVER_III,7,12,9023,26,26,SILVER_III,7,12,9502
1,222,202,SILVER_III,25,17,18263,17,29,IRON_I,0,14,12318,71,69,GOLD_III,0,15,14281,83,86,SILVER_IV,14,15,13889,81,96,GOLD_IV,0,15,13482,54,52,SILVER_I,51,18,20228,37,38,SILVER_III,0,16,15698,44,42,SILVER_I,52,18,18472,54,52,SILVER_I,51,14,12074,207,213,SILVER_III,46,15,13385
