rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
96,0,88,0,BRONZE_IV,58,18,18614,309,0,321,0,BRONZE_III,62,16,15496,33,0,35,0,BRONZE_III,0,17,17649,186,0,166,0,BRONZE_III,72,16,16250,18,0,32,0,BRONZE_III,13,15,14124,32,0,42,0,BRONZE_III,70,18,21500,109,0,118,0,BRONZE_III,15,18,19260,232,0,231,0,BRONZE_III,60,17,17685,63,0,59,0,BRONZE_III,55,15,14338,97,0,111,0,BRONZE_III,37,16,15684
552,0,509,0,BRONZE_III,34,16,14957,21,0,18,0,IRON_I,100,16,15175,183,0,159,0,BRONZE_III,40,16,15405,106,0,113,0,BRONZE_III,43,14,12270,349,0,323,0,BRONZE_III,72,14,12355,18,0,32,0,BRONZE_III,21,13,11095,160,0,170,0,BRONZE_III,27,12,9798,186,0,167,0,BRONZE_III,68,14,12092,63,0,59,0,BRONZE_III,55,14,11577,311,0,311,0,BRONZE_III,80,12,9552
113,0,126,0,BRONZE_III,42,15,13739,7,0,5,0,BRONZE_IV,10,16,15704,237,0,253,0,BRONZE_III,21,15,13227,81,0,87,0,BRONZE_III,25,16,15068,98,0,121,0,BRONZE_III,32,15,13094,53,0,83,0,BRONZE_III,75,18,20103,18,0,24,0,BRONZE_IV,46,17,17824,53,0,63,0,BRONZE_IV,88,17,18120,63,0,59,0,BRONZE_III,55,16,16292,24,0,28,0,BRONZE_IV,58,15,13159
358,0,352,0,BRONZE_III,50,17,16593,201,0,173,0,BRONZE_III,60,18,18725,281,0,269,0,BRONZE_II,22,15,14038,159,0,153,0,BRONZE_III,82,17,16906,135,0,130,0,BRONZE_III,51,14,12260,186,0,207,0,BRONZE_III,75,16,14760,23,0,37,0,BRONZE_III,12,15,13768,225,0,220,0,BRONZE_III,44,16,15379,63,0,59,0,BRONZE_III,55,15,13241,37,0,40,0,BRONZE_III,9,13,11171
113,0,114,0,BRONZE_II,46,18,24949,8,0,14,0,BRONZE_II,78,18,24347,31,0,44,0,BRONZE_III,75,18,18417,182,0,179,0,BRONZE_III,58,18,19886,77,0,87,0,BRONZE_II,19,17,17566,173,0,143,0,BRONZE_IV,57,16,16371,272,0,284,0,BRONZE_II,79,18,19732,176,0,133,0,SILVER_IV,16,18,20406,63,0,59,0,BRONZE_III,55,17,18286,394,0,368,0,BRONZE_III,15,16,15767
32,0,42,0,BRONZE_II,43,15,13525,25,0,36,0,BRONZE_II,29,15,14135,25,0,36,0,BRONZE_II,29,14,11526,15,0,12,0,BRONZE_III,5,13,10158,15,0,11,0,BRONZE_III,9,13,10535,26,0,20,0,BRONZE_III,89,16,16288,32,0,33,0,BRONZE_II,0,15,14495,14,0,10,0,BRONZE_I,25,17,17018,8,0,6,0,BRONZE_III,75,15,14315,56,0,51,0,SILVER_IV,16,13,11198
47,0,46,0,BRONZE_III,54,15,13213,9,0,18,0,BRONZE_IV,22,13,10800,30,0,42,0,BRONZE_III,89,13,11185,15,0,12,0,BRONZE_III,5,13,10202,15,0,11,0,BRONZE_III,9,12,9602,106,0,137,0,IRON_I,75,14,12009,40,0,60,0,BRONZE_IV,0,12,8744,40,0,60,0,BRONZE_IV,0,12,9139,162,0,167,0,BRONZE_IV,28,11,8225,56,0,55,0,BRONZE_I,32,11,8130
73,0,81,0,BRONZE_II,51,18,21023,241,0,258,0,BRONZE_IV,64,18,22653,386,0,398,0,SILVER_IV,0,18,23383,15,0,12,0,BRONZE_III,5,18,18778,15,0,11,0,BRONZE_III,9,17,17710,31,0,37,0,BRONZE_III,0,16,16235,31,0,37,0,BRONZE_III,0,17,17185,159,0,160,0,BRONZE_IV,14,15,14690,195,0,201,0,SILVER_IV,39,15,14197,79,0,78,0,BRONZE_I,10,16,15225
82,0,91,0,BRONZE_I,6,15,14286,82,0,91,0,BRONZE_I,6,14,12979,83,0,73,0,GOLD_I,56,15,13822,15,0,8,0,BRONZE_I,86,15,13833,17,0,12,0,SILVER_IV,62,12,9765,19,0,18,0,SILVER_III,64,14,11606,188,0,208,0,IRON_II,36,13,10191,9,0,5,0,BRONZE_III,51,14,12348,6,0,7,0,BRONZE_IV,47,12,9316,22,0,27,0,BRONZE_I,71,11,8569
22,0,27,0,BRONZE_I,71,18,21400,22,0,27,0,BRONZE_I,71,18,20065,22,0,27,0,BRONZE_I,71,18,18893,7,0,12,0,BRONZE_IV,36,17,18235,7,0,9,0,BRONZE_I,14,14,12852,5,0,11,0,BRONZE_III,59,15,14298,22,0,23,0,SILVER_III,65,18,19453,9,0,5,0,BRONZE_III,51,18,20078,5,0,5,0,BRONZE_III,25,16,16215,5,0,5,0,BRONZE_III,25,16,15432
30,0,32,0,SILVER_II,15,17,17622,30,0,32,0,SILVER_II,15,18,18742,7,0,4,0,BRONZE_I,75,17,16657,28,0,50,0,BRONZE_IV,58,16,15012,28,0,50,0,BRONZE_IV,58,15,13034,9,0,22,0,BRONZE_II,75,16,15855,25,0,34,0,BRONZE_II,99,16,14753,9,0,5,0,BRONZE_III,51,16,15531,9,0,5,0,BRONZE_III,51,14,11653,6,0,16,0,BRONZE_IV,42,13,10815
28,0,50,0,BRONZE_IV,58,13,10869,8,0,8,0,BRONZE_I,6,10,6897,26,0,21,0,BRONZE_I,86,11,7935,26,0,21,0,BRONZE_I,86,11,8121,6,0,12,0,BRONZE_III,65,11,7455,73,0,88,0,IRON_II,61,11,7498,2,0,8,0,BRONZE_II,2,9,5837,9,0,5,0,BRONZE_III,51,13,10815,9,0,5,0,BRONZE_III,51,9,5383,6,0,8,0,SILVER_IV,1,9,5380
21,0,35,0,BRONZE_IV,56,15,13294,25,0,37,0,SILVER_IV,16,15,13495,8,0,15,0,BRONZE_III,47,15,13370,29,0,22,0,SILVER_IV,94,14,12627,22,0,16,0,SILVER_IV,1,13,11366,88,0,98,0,SILVER_IV,10,15,14529,102,0,113,0,SILVER_III,50,14,11808,9,0,5,0,BRONZE_III,51,16,15027,6,0,10,0,BRONZE_I,1,15,13727,7,0,7,0,BRONZE_II,78,13,11186
145,0,127,0,BRONZE_III,58,15,14231,108,0,113,0,BRONZE_II,0,12,9196,83,0,115,0,BRONZE_IV,47,12,9916,179,0,201,0,BRONZE_III,39,10,7011,131,0,135,0,BRONZE_III,8,12,8583,144,0,162,0,BRONZE_III,3,15,14317,161,0,187,0,BRONZE_IV,32,13,10417,363,0,366,0,BRONZE_IV,79,14,12910,21,0,23,0,BRONZE_IV,69,15,14644,66,0,77,0,BRONZE_III,48,12,9655
6,0,9,0,BRONZE_IV,32,17,16948,55,0,71,0,BRONZE_IV,11,16,16319,26,0,37,0,BRONZE_III,79,15,14031,157,0,182,0,BRONZE_IV,75,16,16358,131,0,135,0,BRONZE_III,8,14,12089,136,0,156,0,BRONZE_III,41,18,19295,17,0,28,0,BRONZE_III,30,18,18782,170,0,180,0,BRONZE_III,92,17,16892,196,0,192,0,BRONZE_II,41,16,16371,38,0,50,0,BRONZE_III,79,17,16516
81,0,110,0,BRONZE_IV,50,13,10156,10,0,21,0,BRONZE_III,0,13,10612,30,0,37,0,BRONZE_IV,6,13,10142,25,0,21,0,BRONZE_III,67,12,8889,131,0,135,0,BRONZE_III,8,10,7216,41,0,57,0,BRONZE_II,0,13,10174,100,0,119,0,BRONZE_II,75,10,6838,306,0,303,0,BRONZE_IV,0,12,9838,159,0,144,0,IRON_I,43,9,6033,42,0,48,0,BRONZE_IV,75,11,7738
