rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
67,0,85,0,GOLD_III,16,18,18481,241,0,235,0,PLATINUM_IV,59,15,14297,121,0,127,0,GOLD_IV,72,17,18298,280,0,265,0,PLATINUM_III,50,15,14504,231,0,243,0,GOLD_III,75,15,14221,66,0,65,0,GOLD_III,62,15,14280,126,0,129,0,GOLD_I,53,16,15107,366,0,363,0,PLATINUM_IV,0,15,13958,126,0,131,0,PLATINUM_IV,0,14,11649,49,0,49,0,GOLD_II,56,16,15224
30,0,36,0,PLATINUM_II,15,9,6003,10,0,13,0,PLATINUM_IV,0,9,5160,211,0,200,0,DIAMOND_IV,17,9,5050,23,0,26,0,GOLD_II,76,8,4670,99,0,103,0,BRONZE_II,0,7,3561,389,0,379,0,PLATINUM_IV,79,8,4952,126,0,129,0,GOLD_I,53,9,5059,9,0,3,0,PLATINUM_I,95,6,2896,66,0,65,0,GOLD_III,62,7,3206,42,0,52,0,SILVER_II,61,7,3324
156,0,161,0,GOLD_I,69,12,9537,567,0,567,0,GOLD_II,4,10,6440,48,0,41,0,GOLD_I,0,11,7758,261,0,243,0,PLATINUM_IV,0,10,6269,66,0,54,0,GOLD_I,28,10,6203,66,0,65,0,GOLD_III,62,9,5817,126,0,129,0,GOLD_I,53,10,7132,343,0,357,0,PLATINUM_IV,0,9,5945,64,0,72,0,GOLD_II,57,10,6995,229,0,229,0,GOLD_I,31,8,4965
16,0,9,0,GOLD_II,30,14,12965,141,0,136,0,PLATINUM_IV,1,15,14009,120,0,111,0,GOLD_I,54,15,14568,29,0,42,0,GOLD_II,27,15,14489,130,0,129,0,PLATINUM_IV,10,13,11253,66,0,65,0,GOLD_III,62,16,15253,126,0,129,0,GOLD_I,53,14,11493,216,0,185,0,PLATINUM_IV,59,14,11607,430,0,375,0,GOLD_I,79,12,9147,47,0,33,0,GOLD_II,80,12,8733
293,0,291,0,SILVER_I,68,14,12312,162,0,157,0,SILVER_I,80,15,13736,90,0,97,0,GOLD_IV,13,16,15136,155,0,157,0,GOLD_IV,11,15,13263,593,0,596,0,GOLD_IV,45,15,13316,98,0,98,0,GOLD_III,17,16,16012,126,0,129,0,GOLD_I,53,16,15159,261,0,240,0,GOLD_III,0,16,15234,477,0,448,0,GOLD_IV,0,15,14372,297,0,314,0,SILVER_IV,14,14,12064
113,0,107,0,PLATINUM_III,0,18,23988,136,0,145,0,PLATINUM_III,59,18,24334,117,0,106,0,PLATINUM_III,48,18,22160,288,0,310,0,PLATINUM_III,11,18,23462,460,0,452,0,PLATINUM_IV,23,17,17949,84,0,62,0,GOLD_I,26,18,23746,73,0,49,0,PLATINUM_II,16,18,21643,253,0,209,0,PLATINUM_IV,76,17,18331,646,0,614,0,PLATINUM_IV,59,18,19175,922,0,913,0,PLATINUM_III,55,18,19292
239,0,209,0,PLATINUM_III,30,2,514,256,0,258,0,PLATINUM_III,57,3,1020,68,0,78,0,PLATINUM_IV,61,3,1060,220,0,184,0,PLATINUM_III,46,2,587,283,0,287,0,PLATINUM_IV,90,2,526,84,0,62,0,GOLD_I,26,2,549,73,0,49,0,PLATINUM_II,16,3,832,248,0,228,0,PLATINUM_III,85,3,914,380,0,358,0,PLATINUM_IV,30,2,491,366,0,343,0,PLATINUM_III,17,1,0
167,0,158,0,PLATINUM_IV,58,10,6777,145,0,86,0,PLATINUM_II,14,10,6340,27,0,15,0,GOLD_I,74,11,7439,99,0,99,0,PLATINUM_IV,41,9,5278,138,0,113,0,GOLD_I,70,8,4691,84,0,62,0,GOLD_I,26,10,7123,73,0,49,0,PLATINUM_II,16,11,7820,273,0,251,0,PLATINUM_III,25,13,10012,534,0,512,0,PLATINUM_III,87,10,6450,131,0,118,0,PLATINUM_III,0,9,5631
96,0,105,0,PLATINUM_IV,81,18,18665,85,0,96,0,PLATINUM_IV,79,18,18554,150,0,158,0,PLATINUM_III,30,15,14250,237,0,236,0,PLATINUM_III,26,17,17327,58,0,56,0,PLATINUM_IV,87,16,15160,84,0,62,0,GOLD_I,26,15,13201,242,0,241,0,PLATINUM_IV,36,16,15404,355,0,329,0,PLATINUM_III,22,15,13774,87,0,78,0,PLATINUM_III,19,15,13807,73,0,49,0,PLATINUM_II,16,14,12296
69,0,61,0,PLATINUM_IV,32,13,11190,42,0,38,0,GOLD_I,5,14,12190,313,0,314,0,PLATINUM_IV,58,12,9893,315,0,297,0,PLATINUM_IV,62,11,7452,153,0,149,0,PLATINUM_IV,73,11,8526,84,0,62,0,GOLD_I,26,15,14290,270,0,238,0,PLATINUM_III,0,15,14197,137,0,128,0,PLATINUM_II,89,14,12136,53,0,36,0,GOLD_I,51,15,13057,73,0,49,0,PLATINUM_II,16,14,11881
49,0,48,0,SILVER_II,81,17,17695,26,0,15,0,GOLD_II,78,17,16930,46,0,49,0,PLATINUM_IV,39,17,17910,56,0,58,0,GOLD_I,0,15,13777,52,0,46,0,GOLD_II,5,16,15050,95,0,97,0,GOLD_IV,39,17,17453,81,0,70,0,PLATINUM_IV,1,18,19520,91,0,85,0,GOLD_IV,58,17,17818,95,0,76,0,PLATINUM_III,10,17,18325,57,0,48,0,GOLD_III,7,15,14627
52,0,46,0,GOLD_II,5,12,9318,49,0,48,0,SILVER_II,81,13,11278,26,0,15,0,GOLD_II,78,12,9080,56,0,58,0,GOLD_I,0,12,9579,29,0,27,0,GOLD_III,77,10,6924,95,0,76,0,PLATINUM_III,10,14,12437,81,0,70,0,PLATINUM_IV,1,13,10972,123,0,96,0,PLATINUM_I,74,15,13042,125,0,110,0,PLATINUM_III,24,13,10638,57,0,48,0,GOLD_III,7,11,8397
32,0,17,0,GOLD_III,75,17,18012,52,0,35,0,GOLD_III,67,18,19482,57,0,52,0,GOLD_II,77,18,21487,56,0,58,0,GOLD_I,0,5,1990,29,0,27,0,GOLD_III,77,15,14007,227,0,197,0,GOLD_I,100,16,15095,36,0,45,0,GOLD_II,2,17,16997,193,0,165,0,PLATINUM_IV,1,17,18057,266,0,235,0,GOLD_I,30,16,15731,65,0,47,0,GOLD_II,80,14,12009
6,0,4,0,GOLD_II,62,15,14337,154,0,147,0,PLATINUM_II,6,15,14211,12,0,7,0,PLATINUM_II,41,17,16786,3,0,7,0,GOLD_I,45,15,13989,372,0,336,0,DIAMOND_III,2,13,11093,40,0,33,0,PLATINUM_III,33,15,13290,7,0,3,0,GOLD_I,99,15,13803,84,0,71,0,PLATINUM_II,58,15,14053,64,0,65,0,PLATINUM_IV,12,13,11402,105,0,101,0,DIAMOND_IV,0,12,9167
