rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
407,0,366,0,GOLD_III,89,15,14403,45,0,67,0,PLATINUM_IV,39,15,13493,35,0,40,0,GOLD_I,28,16,16276,285,0,270,0,PLATINUM_III,1,14,12711,230,0,210,0,GOLD_I,82,13,11347,60,0,71,0,GOLD_IV,0,14,12301,387,0,379,0,PLATINUM_I,52,14,11804,215,0,187,0,GOLD_I,100,15,13494,108,0,87,0,PLATINUM_IV,6,13,10632,79,0,72,0,GOLD_I,0,12,9458
494,0,496,0,PLATINUM_IV,14,13,10065,77,0,71,0,GOLD_I,13,13,10646,44,0,33,0,GOLD_I,58,14,11591,83,0,65,0,GOLD_I,100,12,9854,83,0,59,0,GOLD_I,59,12,8687,60,0,71,0,GOLD_IV,0,15,13205,387,0,379,0,PLATINUM_I,52,16,15125,215,0,187,0,GOLD_I,100,14,12873,363,0,340,0,GOLD_I,42,13,10428,282,0,264,0,PLATINUM_IV,37,13,10109
133,0,126,0,PLATINUM_III,75,18,18517,110,0,83,0,PLATINUM_II,5,16,15537,80,0,77,0,PLATINUM_II,12,17,16904,448,0,467,0,PLATINUM_I,20,17,16580,212,0,192,0,PLATINUM_II,60,15,13441,182,0,186,0,PLATINUM_III,0,16,15702,387,0,379,0,PLATINUM_I,52,17,16564,53,0,65,0,PLATINUM_II,10,17,17515,218,0,193,0,PLATINUM_II,50,16,16404,37,0,26,0,GOLD_I,57,14,12735
190,0,158,0,PLATINUM_I,46,16,15206,332,0,283,0,DIAMOND_IV,19,13,9988,566,0,569,0,DIAMOND_IV,38,14,12698,156,0,137,0,DIAMOND_III,1,13,11012,138,0,149,0,DIAMOND_IV,62,13,10073,387,0,378,0,DIAMOND_IV,43,13,11183,387,0,379,0,PLATINUM_I,52,11,7369,178,0,122,0,DIAMOND_IV,1,11,7743,130,0,127,0,DIAMOND_IV,34,12,8645,930,0,893,0,DIAMOND_IV,21,10,6398
605,0,603,0,DIAMOND_IV,97,15,13797,72,0,70,0,DIAMOND_IV,79,14,12050,275,0,275,0,DIAMOND_III,42,15,13439,312,0,286,0,DIAMOND_III,25,15,13734,107,0,110,0,DIAMOND_III,1,12,9669,313,0,295,0,DIAMOND_IV,1,14,11911,387,0,379,0,PLATINUM_I,52,13,11399,320,0,288,0,DIAMOND_IV,0,13,10635,121,0,119,0,PLATINUM_I,67,13,10535,163,0,150,0,DIAMOND_IV,1,11,8335
566,0,557,0,DIAMOND_I,6,15,13034,137,0,124,0,DIAMOND_III,76,15,13954,223,0,162,0,MASTER_I,9,15,13318,41,0,11,0,PLATINUM_II,81,14,11532,60,0,41,0,MASTER_I,14,12,9358,21,0,14,0,MASTER_I,18,13,11064,133,0,128,0,PLATINUM_I,62,12,9634,19,0,22,0,PLATINUM_I,61,12,9602,55,0,46,0,DIAMOND_II,55,12,9894,14,0,19,0,PLATINUM_I,100,11,8286
740,0,742,0,DIAMOND_IV,0,12,9785,100,0,105,0,DIAMOND_IV,60,14,12609,71,0,43,0,DIAMOND_II,72,15,14649,63,0,47,0,PLATINUM_I,93,12,9833,61,0,46,0,PLATINUM_I,80,11,8019,61,0,46,0,PLATINUM_I,80,16,14899,170,0,185,0,PLATINUM_II,96,14,11962,19,0,22,0,PLATINUM_I,61,16,15316,6,0,11,0,DIAMOND_II,0,14,12818,14,0,19,0,PLATINUM_I,100,13,10043
31,0,29,0,DIAMOND_IV,0,16,15538,170,0,185,0,PLATINUM_II,96,12,9941,10,0,19,0,PLATINUM_III,68,13,11161,6,0,11,0,DIAMOND_II,0,13,11280,50,0,24,0,DIAMOND_IV,27,11,7730,71,0,43,0,DIAMOND_II,72,13,10800,41,0,33,0,DIAMOND_IV,32,13,9997,19,0,22,0,PLATINUM_I,61,12,9359,77,0,61,0,PLATINUM_I,62,11,8100,14,0,19,0,PLATINUM_I,100,10,6346
49,0,37,0,PLATINUM_I,46,15,13823,49,0,34,0,DIAMOND_IV,45,16,15704,154,0,127,0,DIAMOND_II,35,16,15807,14,0,4,0,DIAMOND_I,57,14,12786,95,0,46,0,DIAMOND_IV,1,13,10880,200,0,180,0,DIAMOND_I,33,15,13766,228,0,227,0,DIAMOND_III,12,15,14185,19,0,22,0,PLATINUM_I,61,13,10540,87,0,76,0,DIAMOND_II,18,12,8786,14,0,19,0,PLATINUM_I,100,12,8858
125,0,70,0,GRANDMASTER_I,594,9,5161,30,0,14,0,PLATINUM_I,80,7,4003,44,0,21,0,DIAMOND_IV,1,9,5301,24,0,6,0,PLATINUM_IV,46,6,3051,44,0,21,0,DIAMOND_IV,1,6,3108,30,0,21,0,PLATINUM_I,90,8,4821,47,0,47,0,PLATINUM_I,51,4,1269,19,0,22,0,PLATINUM_I,61,8,4270,44,0,44,0,DIAMOND_IV,33,6,2768,14,0,19,0,PLATINUM_I,100,6,3125
245,0,240,0,PLATINUM_II,1,10,6695,131,0,105,0,PLATINUM_I,14,10,6440,60,0,56,0,PLATINUM_I,69,10,6956,119,0,118,0,PLATINUM_I,11,9,5265,574,0,566,0,DIAMOND_IV,53,7,3811,864,0,825,0,PLATINUM_I,71,10,7275,208,0,193,0,PLATINUM_I,23,10,6599,183,0,158,0,PLATINUM_I,0,11,8118,247,0,248,0,PLATINUM_III,0,10,6915,263,0,242,0,DIAMOND_IV,54,10,6201
128,0,120,0,PLATINUM_I,10,17,17339,147,0,144,0,PLATINUM_II,61,16,15788,126,0,125,0,DIAMOND_IV,89,17,17441,119,0,118,0,PLATINUM_I,11,15,13414,32,0,36,0,PLATINUM_II,68,14,12300,255,0,262,0,PLATINUM_I,54,18,18801,258,0,240,0,PLATINUM_I,14,17,16797,236,0,189,0,DIAMOND_IV,1,16,16111,328,0,335,0,DIAMOND_III,15,17,18192,187,0,162,0,PLATINUM_II,27,16,14743
