rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
204,0,207,0,SILVER_II,16,14,12358,391,0,361,0,GOLD_III,82,13,11082,20,0,22,0,SILVER_I,26,14,12198,165,0,157,0,GOLD_III,61,14,11516,66,0,55,0,SILVER_III,44,11,8200,256,0,281,0,SILVER_III,66,16,16322,129,0,135,0,GOLD_IV,56,16,15697,240,0,189,0,GOLD_I,52,16,15318,182,0,164,0,GOLD_III,52,14,11718,316,0,320,0,SILVER_I,41,14,12007
201,0,192,0,GOLD_III,56,15,14498,100,0,110,0,GOLD_IV,99,15,14159,285,0,325,0,GOLD_IV,14,15,14559,142,0,127,0,GOLD_III,10,14,11610,398,0,367,0,GOLD_III,18,11,8150,175,0,183,0,GOLD_IV,42,11,8506,182,0,164,0,GOLD_III,52,12,9221,71,0,69,0,SILVER_I,78,13,11050,70,0,74,0,GOLD_IV,1,11,7473,316,0,320,0,SILVER_I,41,16,14779
547,0,528,0,GOLD_IV,53,18,20100,272,0,273,0,GOLD_IV,10,18,22004,250,0,229,0,GOLD_III,56,18,21808,677,0,671,0,GOLD_IV,20,18,19456,262,0,227,0,SILVER_II,4,16,16041,25,0,24,0,SILVER_I,72,17,18206,182,0,164,0,GOLD_III,52,17,17022,139,0,136,0,GOLD_IV,51,18,18886,214,0,215,0,GOLD_IV,0,16,14738,316,0,320,0,SILVER_I,41,18,20389
441,0,441,0,GOLD_III,79,16,15731,39,0,48,0,SILVER_I,21,15,14321,45,0,40,0,SILVER_II,41,16,14877,109,0,112,0,GOLD_IV,60,16,16473,68,0,72,0,SILVER_I,36,15,13332,123,0,128,0,GOLD_IV,46,18,19009,182,0,164,0,GOLD_III,52,18,18553,1615,0,1594,0,GOLD_II,11,17,16592,506,0,497,0,SILVER_I,92,15,14278,316,0,320,0,SILVER_I,41,16,14872
44,0,54,0,GOLD_IV,5,13,11158,89,0,85,0,GOLD_III,16,11,8389,25,0,24,0,SILVER_III,0,12,9354,88,0,119,0,GOLD_IV,0,13,10718,87,0,87,0,SILVER_II,51,10,6850,60,0,69,0,SILVER_I,52,14,12119,182,0,164,0,GOLD_III,52,14,11904,100,0,103,0,GOLD_IV,47,12,9923,107,0,109,0,GOLD_IV,4,12,9029,316,0,320,0,SILVER_I,41,15,13712
47,0,43,0,PLATINUM_IV,0,15,14246,51,0,48,0,GOLD_III,4,13,10231,18,0,22,0,SILVER_I,41,13,11040,32,0,43,0,SILVER_II,53,12,9238,186,0,181,0,GOLD_IV,0,12,8624,92,0,87,0,GOLD_III,19,15,13153,161,0,164,0,GOLD_III,0,16,15801,67,0,47,0,GOLD_II,21,15,13303,25,0,27,0,SILVER_I,100,15,14286,13,0,13,0,SILVER_I,100,14,11989
41,0,37,0,GOLD_IV,62,16,15741,134,0,122,0,GOLD_IV,62,16,15935,18,0,22,0,SILVER_I,41,15,14510,59,0,52,0,GOLD_II,30,14,12750,160,0,130,0,GOLD_III,17,13,11405,204,0,209,0,GOLD_IV,62,17,17309,140,0,162,0,GOLD_IV,0,16,15533,94,0,98,0,GOLD_III,54,17,17981,474,0,496,0,GOLD_IV,0,16,15713,54,0,69,0,GOLD_IV,19,15,13071
63,0,79,0,GOLD_IV,80,18,18636,82,0,110,0,GOLD_IV,52,16,15019,198,0,209,0,SILVER_II,65,16,15598,127,0,104,0,SILVER_I,30,14,11465,140,0,131,0,SILVER_III,45,12,9725,269,0,268,0,GOLD_IV,14,16,14996,106,0,131,0,SILVER_I,70,17,17556,173,0,174,0,GOLD_III,20,16,15880,32,0,28,0,SILVER_II,47,16,16043,280,0,262,0,SILVER_I,44,16,14757
351,0,340,0,GOLD_IV,30,18,20592,66,0,54,0,GOLD_IV,91,18,19250,238,0,226,0,GOLD_III,9,18,22078,97,0,87,0,GOLD_IV,41,17,17685,96,0,93,0,SILVER_I,43,16,14858,269,0,268,0,GOLD_IV,14,18,18908,106,0,131,0,SILVER_I,70,17,16739,13,0,10,0,SILVER_I,7,17,16945,46,0,40,0,GOLD_IV,11,16,15852,103,0,109,0,GOLD_IV,0,15,14237
9,0,13,0,SILVER_I,40,18,28221,16,0,15,0,SILVER_I,56,18,22036,52,0,48,0,SILVER_II,9,18,23413,64,0,53,0,GOLD_I,25,18,20249,21,0,24,0,BRONZE_III,72,17,16747,269,0,268,0,GOLD_IV,14,18,19516,106,0,131,0,SILVER_I,70,18,19746,140,0,157,0,SILVER_III,59,17,18053,101,0,108,0,SILVER_III,0,18,22479,142,0,145,0,GOLD_IV,81,15,14638
