ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
9,0,4,0,BRONZE_I,49,18,18460,8,0,11,0,BRONZE,I,56,16,15440,21,0,31,0,SILVER_II,39,17,16918,53,0,57,0,SILVER_I,1,17,17492,176,0,165,0,PLATINUM_I,49,15,14038,332,0,309,0,PLATINUM_IV,0,16,16153,622,0,634,0,GOLD_IV,20,16,14942,79,0,77,0,GOLD_III,19,15,13977,126,0,88,0,DIAMOND_IV,8,15,13085,126,0,88,0,DIAMOND_IV,8,13,10175
9,0,4,0,BRONZE_I,49,17,16711,8,0,11,0,BRONZE,I,56,15,14478,21,0,31,0,SILVER_II,39,15,13358,176,0,165,0,PLATINUM_I,49,16,15399,53,0,57,0,SILVER_I,1,14,11800,314,0,302,0,GOLD_II,82,15,13802,178,0,153,0,GOLD_IV,28,12,9404,257,0,273,0,GOLD_II,0,15,13332,38,0,44,0,GOLD_I,3,15,14026,65,0,77,0,GOLD_III,22,12,9161
9,0,4,0,BRONZE_I,49,17,18324,8,0,11,0,BRONZE,I,56,16,15506,21,0,31,0,SILVER_II,39,16,14711,176,0,165,0,PLATINUM_I,49,18,19115,53,0,57,0,SILVER_I,1,16,15279,64,0,56,0,SILVER_III,25,13,10699,35,0,36,0,SILVER_II,27,13,11051,45,0,51,0,GOLD_IV,0,15,14212,270,0,238,0,GOLD_I,5,16,15205,225,0,215,0,PLATINUM_IV,0,14,12384
164,0,174,0,BRONZE_II,56,18,18436,9,0,17,0,BRONZE_II,49,16,16018,47,0,54,0,SILVER_IV,64,16,16403,15,0,15,0,BRONZE_I,94,17,18192,20,0,16,0,BRONZE_I,53,15,14262,21,0,32,0,BRONZE_III,54,16,14815,25,0,35,0,BRONZE_I,0,15,14172,18,0,24,0,BRONZE_I,59,16,16286,18,0,14,0,BRONZE,I,76,15,14656,51,0,59,0,SILVER_IV,44,15,13162
286,0,265,0,SILVER_III,25,12,9813,26,0,24,0,SILVER_IV,80,11,8408,19,0,27,0,BRONZE_I,0,11,8319,19,0,27,0,BRONZE_I,0,10,6772,73,0,81,0,SILVER_IV,69,9,5912,29,0,29,0,SILVER_II,76,14,12233,67,0,79,0,SILVER_II,15,13,10820,72,0,88,0,SILVER_IV,58,12,9938,18,0,14,0,BRONZE,I,76,11,8481,5,0,5,0,BRONZE_III,46,10,7288
87,0,91,0,SILVER_IV,14,2,361,15,0,23,0,BRONZE_III,19,2,639,23,0,47,0,BRONZE_I,1,3,965,9,0,22,0,BRONZE_II,75,1,0,18,0,20,0,SILVER_II,23,2,639,19,0,26,0,BRONZE_I,58,3,1025,19,0,27,0,BRONZE_I,0,4,1145,232,0,239,0,SILVER_IV,60,2,556,18,0,14,0,BRONZE,I,76,3,985,5,0,5,0,BRONZE_III,46,2,527
49,0,54,0,IRON_I,0,18,21380,30,0,37,0,BRONZE_III,65,15,14557,15,0,13,0,SILVER_IV,59,17,17751,35,0,33,0,SILVER_IV,40,18,18891,64,0,63,0,BRONZE_II,56,18,18440,13,0,14,0,BRONZE_IV,44,18,19334,94,0,75,0,BRONZE_III,28,14,12780,34,0,36,0,SILVER_II,0,16,15728,18,0,14,0,BRONZE,I,76,15,13397,5,0,5,0,BRONZE_III,46,14,12513
20,0,31,0,BRONZE,I,25,13,10414,160,0,137,0,SILVER_IV,0,11,7789,20,0,35,0,BRONZE_II,84,12,9884,177,0,190,0,SILVER_IV,60,9,5042,181,0,192,0,BRONZE_III,67,9,6069,104,0,102,0,SILVER_IV,50,10,7052,7,0,10,0,IRON_I,58,10,6395,85,0,75,0,BRONZE_I,31,10,6846,177,0,176,0,SILVER_IV,42,11,7432,20,0,32,0,BRONZE_III,16,6,2739
20,0,31,0,BRONZE,I,25,16,15411,146,0,175,0,BRONZE_IV,40,13,10820,86,0,78,0,GOLD_II,4,15,13405,71,0,88,0,BRONZE_II,59,14,12243,28,0,38,0,BRONZE_I,38,12,9092,19,0,29,0,BRONZE_I,12,16,15837,189,0,188,0,SILVER_III,60,17,17357,67,0,73,0,SILVER_IV,0,15,13924,105,0,97,0,SILVER_IV,0,14,11617,28,0,26,0,BRONZE_II,60,14,11636
20,0,31,0,BRONZE,I,25,11,8202,302,0,281,0,GOLD_IV,78,13,10737,258,0,217,0,SILVER_II,6,12,9493,105,0,97,0,SILVER_IV,0,12,9662,131,0,123,0,SILVER_IV,13,11,8573,231,0,216,0,SILVER_IV,15,12,8881,42,0,44,0,SILVER_IV,79,11,7964,145,0,166,0,BRONZE_III,61,11,7939,318,0,335,0,BRONZE_I,77,11,7878,237,0,232,0,SILVER_IV,13,9,5406
