ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
169,0,169,0,BRONZE_III,59,17,17184,406,0,410,0,BRONZE_IV,0,14,12491,169,0,189,0,IRON_IV,73,16,14915,18,0,26,0,BRONZE_IV,29,14,11695,92,0,115,0,IRON,IV,75,15,13744,78,0,93,0,IRON_IV,53,18,21253,180,0,218,0,BRONZE_IV,49,16,16151,180,0,218,0,BRONZE_IV,49,16,16035,70,0,84,0,BRONZE_IV,46,16,15106,74,0,77,0,BRONZE_III,18,15,13492
16,0,36,0,BRONZE_IV,0,14,12775,51,0,80,0,IRON_I,34,12,9106,71,0,87,0,BRONZE_IV,19,13,10858,34,0,44,0,BRONZE_IV,0,13,10514,92,0,115,0,IRON,IV,75,11,8528,59,0,76,0,BRONZE_IV,28,15,13029,90,0,120,0,IRON_III,52,15,14040,24,0,27,0,BRONZE_IV,8,15,13068,72,0,94,0,IRON_III,0,13,10023,355,0,388,0,BRONZE_IV,2,13,10600
165,0,159,0,BRONZE_III,12,15,13057,104,0,117,0,BRONZE_IV,7,12,9658,192,0,168,0,SILVER_II,28,15,13402,254,0,283,0,BRONZE_IV,28,13,10956,92,0,115,0,IRON,IV,75,12,8596,76,0,91,0,IRON_I,52,15,13990,75,0,85,0,IRON_III,12,14,12397,97,0,97,0,BRONZE_II,89,15,13540,117,0,139,0,IRON_II,79,14,12041,85,0,83,0,SILVER_IV,62,13,11365
183,0,188,0,IRON_I,87,16,15306,42,0,62,0,BRONZE_IV,83,15,14057,115,0,121,0,BRONZE_III,86,13,10158,233,0,251,0,BRONZE_IV,79,13,10738,92,0,115,0,IRON,IV,75,15,13992,192,0,231,0,IRON_III,39,11,8226,27,0,52,0,IRON_I,0,12,9406,117,0,119,0,BRONZE_II,17,15,14663,53,0,58,0,BRONZE_IV,74,14,12100,197,0,189,0,BRONZE_III,40,12,8934
33,0,52,0,IRON_II,21,12,8867,19,0,17,0,BRONZE_IV,40,12,8906,92,0,129,0,IRON_I,22,13,10605,25,0,32,0,IRON_II,60,12,8994,92,0,115,0,IRON,IV,75,12,8771,24,0,35,0,BRONZE_IV,65,13,11010,72,0,67,0,BRONZE_II,54,17,17071,81,0,94,0,BRONZE_III,5,14,11775,265,0,265,0,BRONZE_II,46,14,11442,59,0,39,0,BRONZE_IV,6,12,9488
212,0,200,0,IRON_I,48,11,8517,152,0,141,0,IRON_I,69,12,9120,17,0,29,0,IRON,IV,73,13,10399,11,0,10,0,IRON_I,100,13,10118,36,0,46,0,BRONZE_III,25,11,8350,26,0,35,0,BRONZE_IV,34,12,9353,119,0,141,0,BRONZE_IV,0,12,8697,45,0,51,0,IRON_II,13,12,9042,318,0,304,0,BRONZE_IV,17,11,7398,121,0,150,0,IRON_IV,80,10,6351
196,0,193,0,BRONZE_III,49,16,16315,493,0,610,0,IRON_IV,50,16,14719,17,0,29,0,IRON,IV,73,17,16962,628,0,664,0,BRONZE_III,89,15,13407,162,0,183,0,IRON_I,0,13,11205,50,0,62,0,IRON_I,45,18,20468,35,0,61,0,IRON_II,45,17,17498,12,0,38,0,BRONZE_IV,0,17,16549,177,0,203,0,BRONZE_IV,28,15,14599,207,0,221,0,BRONZE_III,9,15,14557
184,0,189,0,SILVER_IV,27,14,12729,435,0,422,0,SILVER_IV,45,15,14226,17,0,29,0,IRON,IV,73,14,12459,136,0,130,0,SILVER_IV,43,14,11708,388,0,392,0,SILVER_II,75,13,9969,69,0,74,0,BRONZE_II,59,14,12328,431,0,400,0,BRONZE_II,0,11,7717,67,0,59,0,BRONZE_II,60,11,8316,195,0,206,0,BRONZE_III,70,10,6660,210,0,172,0,BRONZE_I,28,10,7059
107,0,109,0,IRON_II,15,14,12772,27,0,23,0,IRON_II,81,12,9931,105,0,139,0,IRON_II,59,14,11690,35,0,81,0,IRON,IV,0,12,9871,60,0,74,0,BRONZE_IV,56,9,6059,46,0,68,0,IRON_IV,87,15,13904,120,0,178,0,IRON_IV,16,13,10247,66,0,69,0,BRONZE_IV,57,15,14622,128,0,142,0,BRONZE_IV,31,13,10259,206,0,239,0,IRON_II,33,12,9087
65,0,62,0,BRONZE_IV,85,15,13821,442,0,451,0,IRON_II,42,15,14415,132,0,160,0,IRON_III,46,15,13682,262,0,266,0,BRONZE_III,44,14,12767,17,0,38,0,IRON,IV,34,13,10155,27,0,25,0,IRON_II,29,14,11993,72,0,81,0,IRON_III,95,15,13973,24,0,47,0,IRON_I,1,14,12279,65,0,51,0,IRON_III,53,14,12438,139,0,137,0,BRONZE_IV,0,12,9450
23,0,36,0,IRON_I,66,14,12808,250,0,249,0,BRONZE_IV,74,13,11267,223,0,253,0,BRONZE_IV,36,14,12624,226,0,253,0,IRON_I,59,13,11109,17,0,38,0,IRON,IV,34,11,7419,17,0,42,0,BRONZE_IV,0,13,10376,395,0,433,0,IRON_IV,77,13,10068,17,0,32,0,IRON_II,70,11,8566,82,0,110,0,IRON_I,30,11,7527,39,0,82,0,IRON_IV,0,10,6416
40,0,60,0,IRON_II,92,12,9647,191,0,190,0,BRONZE_I,100,10,6545,801,0,849,0,BRONZE_IV,29,11,8227,74,0,92,0,IRON_IV,27,10,6171,17,0,38,0,IRON,IV,34,8,4960,28,0,65,0,IRON_IV,63,14,12717,297,0,306,0,IRON_II,44,11,8239,40,0,36,0,IRON_I,66,13,11051,119,0,148,0,BRONZE_III,4,10,6914,395,0,429,0,IRON_II,32,11,7426
86,0,58,0,SILVER_III,44,18,19394,196,0,191,0,SILVER_III,46,17,17382,36,0,33,0,SILVER_III,0,18,20079,84,0,86,0,SILVER_III,76,16,16475,17,0,38,0,IRON,IV,34,18,18525,81,0,87,0,BRONZE_II,61,18,19738,328,0,327,0,BRONZE_III,0,17,17096,31,0,39,0,BRONZE_III,6,16,15832,11,0,14,0,BRONZE_I,45,16,15155,8,0,5,0,BRONZE_II,0,16,15298
57,0,84,0,BRONZE_III,1,8,4170,118,0,128,0,BRONZE_IV,70,7,3915,453,0,498,0,BRONZE_IV,42,9,5452,156,0,126,0,BRONZE_II,12,7,3925,469,0,427,0,BRONZE_I,6,7,3988,469,0,427,0,BRONZE_I,6,5,2163,159,0,217,0,IRON_IV,17,5,2119,5,0,22,0,BRONZE_III,0,5,2058,6,0,28,0,IRON,IV,37,5,2316,78,0,96,0,BRONZE_III,11,2,377
