rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
38,0,52,0,GOLD_IV,0,18,19747,78,0,93,0,SILVER_III,23,14,12992,12,0,21,0,BRONZE_I,32,15,13449,14,0,13,0,SILVER_III,61,14,12039,25,0,24,0,SILVER_II,27,12,9398,16,0,15,0,SILVER_IV,26,14,11449,160,0,164,0,SILVER_IV,77,12,9687,4,0,13,0,SILVER,IV,27,14,12600,6,0,7,0,BRONZE_I,43,12,9683,32,0,26,0,SILVER_I,19,11,8515
18,0,25,0,SILVER_IV,59,15,13979,243,0,269,0,SILVER_III,54,15,14367,22,0,18,0,GOLD_IV,12,17,17496,158,0,159,0,SILVER_III,48,15,13132,19,0,12,0,GOLD_IV,75,15,13284,31,0,37,0,SILVER_I,100,17,16991,27,0,23,0,SILVER_I,0,16,16132,4,0,13,0,SILVER,IV,27,17,16677,31,0,30,0,GOLD_IV,68,14,11597,102,0,98,0,GOLD_II,4,16,15706
25,0,23,0,SILVER_II,52,11,7933,8,0,3,0,SILVER_IV,31,8,4428,29,0,29,0,SILVER_I,32,10,6538,6,0,7,0,SILVER_II,0,7,3972,45,0,38,0,SILVER_III,79,7,3965,19,0,12,0,GOLD_IV,75,7,3818,36,0,43,0,BRONZE_I,65,8,4429,4,0,13,0,SILVER,IV,27,3,719,22,0,25,0,GOLD_IV,1,7,3330,38,0,51,0,SILVER_II,63,8,4377
14,0,16,0,SILVER_I,13,17,17436,53,0,58,0,GOLD_IV,26,18,18689,174,0,154,0,PLATINUM_IV,0,17,18085,10,0,7,0,SILVER_II,49,16,16409,44,0,30,0,GOLD_II,51,15,13221,9,0,15,0,SILVER_IV,47,15,14671,9,0,15,0,SILVER_IV,52,16,15273,4,0,13,0,SILVER,IV,27,17,16744,25,0,20,0,GOLD_II,22,16,14949,26,0,30,0,GOLD_IV,0,13,10959
13,0,19,0,SILVER_IV,49,14,12714,13,0,15,0,SILVER_II,98,15,13456,34,0,45,0,SILVER_III,31,13,11352,34,0,45,0,SILVER_III,31,13,10949,9,0,2,0,SILVER_III,64,11,8076,40,0,52,0,SILVER_III,7,13,11199,24,0,17,0,SILVER_I,58,12,8810,4,0,13,0,SILVER,IV,27,13,11223,25,0,20,0,GOLD_II,22,11,7497,11,0,10,0,BRONZE_I,59,11,7363
8,0,5,0,SILVER_IV,1,13,10806,11,0,6,0,SILVER_IV,0,13,11330,16,0,8,0,SILVER_I,24,12,8670,9,0,12,0,BRONZE_I,55,10,6198,11,0,9,0,SILVER,IV,50,10,6381,6,0,11,0,SILVER_IV,12,10,6970,4,0,6,0,BRONZE_I,97,10,7247,4,0,6,0,BRONZE_II,97,12,8751,9,0,5,0,SILVER_II,29,9,5829,14,0,11,0,SILVER_II,28,9,5602
12,0,14,0,SILVER_I,0,17,17843,53,0,57,0,GOLD_IV,17,18,19232,199,0,226,0,SILVER_IV,0,17,17679,20,0,15,0,SILVER_I,64,16,16443,49,0,48,0,SILVER_II,99,15,13378,49,0,48,0,SILVER_II,99,16,15361,25,0,18,0,GOLD_III,46,15,13945,13,0,7,0,SILVER_II,41,16,15122,168,0,161,0,GOLD_II,16,15,13349,7,0,3,0,SILVER,IV,91,13,10737
21,0,19,0,SILVER_II,10,15,14347,14,0,8,0,BRONZE_I,24,13,10634,14,0,8,0,BRONZE_I,24,14,11657,79,0,73,0,GOLD_IV,47,12,9926,38,0,44,0,GOLD_IV,0,12,9276,63,0,63,0,SILVER_III,68,14,11644,13,0,18,0,GOLD_IV,0,15,14098,72,0,85,0,GOLD_II,58,14,12560,19,0,14,0,SILVER_I,17,15,13440,7,0,3,0,SILVER,IV,91,12,9652
18,0,26,0,SILVER_IV,52,11,7787,29,0,19,0,SILVER_I,100,11,8414,270,0,250,0,GOLD_IV,56,11,8541,52,0,56,0,SILVER_II,46,10,6164,57,0,57,0,GOLD_III,62,10,6393,79,0,93,0,GOLD_IV,43,14,12388,28,0,32,0,SILVER_II,54,11,8207,175,0,164,0,GOLD_III,6,14,12325,17,0,19,0,SILVER_III,75,12,9409,7,0,3,0,SILVER,IV,91,11,8391
7,0,3,0,SILVER_IV,91,18,19006,7,0,3,0,SILVER_IV,91,18,21111,34,0,41,0,SILVER_III,29,15,14347,34,0,41,0,SILVER_III,29,15,14006,58,0,62,0,SILVER_III,87,15,14676,17,0,14,0,SILVER_II,77,16,16022,28,0,32,0,SILVER_II,54,16,15182,40,0,32,0,SILVER_I,36,18,20547,165,0,156,0,GOLD_II,60,16,15773,7,0,3,0,SILVER,IV,91,13,11186
38,0,40,0,SILVER_I,50,14,12338,19,0,14,0,SILVER_II,21,13,10682,88,0,88,0,GOLD_IV,90,14,11780,10,0,8,0,BRONZE_I,35,13,10394,125,0,128,0,GOLD_IV,54,12,8952,23,0,20,0,SILVER_III,87,16,15911,28,0,32,0,SILVER_II,54,16,14793,8,0,9,0,SILVER_III,67,14,12977,11,0,17,0,SILVER_IV,0,14,12869,7,0,3,0,SILVER,IV,91,13,10892
191,0,203,0,SILVER_IV,52,16,16376,143,0,139,0,SILVER,IV,44,16,16116,114,0,152,0,SILVER_IV,38,16,15639,37,0,40,0,SILVER_I,6,16,14739,151,0,151,0,BRONZE_I,22,14,12512,90,0,100,0,SILVER_IV,27,15,13999,90,0,68,0,SILVER_IV,6,17,16769,122,0,78,0,SILVER_III,12,15,14203,186,0,188,0,SILVER_IV,0,14,12829,222,0,221,0,SILVER_III,13,13,10510
24,0,25,0,BRONZE_I,58,13,10298,143,0,139,0,SILVER,IV,44,10,7262,68,0,66,0,SILVER_IV,51,11,7846,485,0,487,0,SILVER_IV,16,10,7045,32,0,37,0,SILVER_IV,0,9,5710,176,0,159,0,SILVER_III,14,13,11355,77,0,74,0,SILVER_III,62,12,9120,161,0,139,0,SILVER_IV,73,13,10716,96,0,93,0,SILVER_IV,14,12,9284,187,0,191,0,SILVER_III,2,12,8637
177,0,175,0,SILVER_III,31,18,20367,143,0,139,0,SILVER,IV,44,17,16606,104,0,100,0,SILVER_III,48,18,19609,68,0,76,0,SILVER_IV,56,17,18156,183,0,224,0,SILVER_III,20,16,14932,191,0,197,0,SILVER_III,43,17,17785,150,0,146,0,SILVER_III,19,16,14810,257,0,243,0,SILVER_IV,40,15,13294,433,0,400,0,SILVER_III,77,17,16963,36,0,15,0,BRONZE_I,90,14,12927
63,0,47,0,BRONZE_I,90,16,16373,143,0,139,0,SILVER,IV,44,17,17680,334,0,335,0,SILVER_IV,21,17,17622,391,0,382,0,SILVER_IV,0,16,15685,185,0,181,0,BRONZE_I,79,14,12092,63,0,78,0,SILVER_IV,0,18,18561,486,0,496,0,BRONZE_II,1,15,13387,220,0,220,0,SILVER_II,83,16,15555,65,0,66,0,SILVER_IV,0,14,12179,293,0,305,0,SILVER_IV,14,13,10983
204,0,210,0,SILVER_IV,37,13,11358,143,0,139,0,SILVER,IV,44,14,12172,27,0,31,0,SILVER_IV,70,15,13230,111,0,105,0,BRONZE_II,43,12,9268,228,0,208,0,SILVER_IV,48,14,11699,63,0,47,0,BRONZE_I,90,13,10779,13,0,21,0,BRONZE_II,51,12,8666,236,0,241,0,SILVER_IV,12,13,10792,28,0,42,0,SILVER_IV,0,12,8818,88,0,97,0,BRONZE_II,16,11,7679
482,0,473,0,SILVER_IV,0,11,7820,204,0,204,0,SILVER_IV,67,10,6457,227,0,212,0,SILVER_III,23,11,7489,503,0,511,0,SILVER_IV,0,9,5433,440,0,440,0,SILVER_III,56,9,5436,68,0,83,0,BRONZE_II,44,9,5630,37,0,46,0,SILVER,IV,0,4,1393,181,0,184,0,SILVER_IV,89,10,6571,358,0,342,0,SILVER_II,83,8,4691,180,0,185,0,SILVER_III,17,8,4612
175,0,159,0,SILVER_II,53,14,12975,190,0,195,0,SILVER_II,44,15,13720,228,0,230,0,SILVER_IV,18,14,12452,133,0,149,0,SILVER_IV,3,13,10649,113,0,118,0,SILVER_II,40,13,10451,202,0,192,0,SILVER_III,59,15,14030,77,0,91,0,SILVER_III,0,13,11315,117,0,114,0,SILVER_IV,48,14,11985,100,0,110,0,SILVER_IV,50,14,11681,129,0,109,0,SILVER,IV,94,13,10845
84,0,86,0,BRONZE_III,62,14,11826,242,0,265,0,SILVER_IV,0,12,9640,190,0,159,0,SILVER_III,64,13,10504,122,0,109,0,GOLD_IV,0,12,9293,275,0,265,0,BRONZE_II,35,12,8825,119,0,134,0,BRONZE_II,42,11,8251,105,0,116,0,SILVER_IV,82,11,8520,249,0,241,0,SILVER_IV,12,13,10142,48,0,57,0,SILVER_III,75,10,7277,129,0,109,0,SILVER,IV,94,11,7580
217,0,221,0,SILVER_III,45,18,19866,310,0,325,0,GOLD_IV,1,16,16182,126,0,140,0,SILVER_II,8,18,18710,104,0,118,0,BRONZE_III,35,14,12940,263,0,264,0,SILVER_IV,19,14,12706,161,0,195,0,SILVER_IV,79,17,17669,387,0,387,0,SILVER_IV,60,18,18522,119,0,134,0,BRONZE_II,42,18,20281,136,0,122,0,SILVER_III,30,16,15099,129,0,109,0,SILVER,IV,94,17,17089
259,0,297,0,SILVER_IV,54,10,6762,426,0,428,0,SILVER_III,0,9,5260,441,0,427,0,SILVER_III,0,10,6227,68,0,80,0,SILVER_IV,33,8,4612,372,0,378,0,BRONZE_III,59,7,3413,119,0,134,0,BRONZE_II,42,9,5132,57,0,82,0,SILVER_IV,22,7,3786,17,0,15,0,BRONZE_II,75,8,4302,58,0,51,0,BRONZE_I,58,6,2429,129,0,109,0,SILVER,IV,94,8,4649
8,0,6,0,SILVER,IV,0,12,8973,64,0,87,0,SILVER_III,27,11,8272,8,0,11,0,SILVER_IV,51,12,8681,26,0,39,0,SILVER_II,18,11,7314,24,0,30,0,SILVER_II,61,10,6408,15,0,7,0,SILVER_II,1,15,13522,34,0,30,0,GOLD_II,39,12,9702,34,0,30,0,GOLD_II,39,12,8635,29,0,28,0,SILVER_I,100,12,8641,52,0,47,0,GOLD_I,9,11,7364
