main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
207,0,219,0,SILVER,III,72,15,13898,62,0,35,0,GOLD_II,37,17,17188,222,0,225,0,GOLD_IV,10,15,13872,24,0,13,0,GOLD_IV,81,16,15431,25,0,30,0,SILVER_II,66,14,12107,135,0,109,0,SILVER_III,41,17,16629,189,0,179,0,GOLD_II,8,14,12982,298,0,319,0,BRONZE_II,35,15,13037,276,0,268,0,PLATINUM_IV,32,15,14689,276,0,268,0,PLATINUM_IV,32,13,10213
207,0,219,0,SILVER,III,72,16,14970,62,0,35,0,GOLD_II,37,14,11994,195,0,200,0,DIAMOND_I,75,14,11572,24,0,13,0,GOLD_IV,81,14,12110,130,0,128,0,GOLD_IV,11,13,10964,16,0,16,0,SILVER_I,29,16,15089,8,0,4,0,BRONZE_I,13,15,13599,138,0,126,0,GOLD_III,58,15,14686,138,0,126,0,GOLD_III,58,15,13139,60,0,47,0,GOLD_II,76,14,11491
207,0,219,0,SILVER,III,72,17,16772,89,0,87,0,SILVER_II,50,18,19592,62,0,35,0,GOLD_II,37,17,17440,24,0,13,0,GOLD_IV,81,17,17120,110,0,98,0,PLATINUM_IV,17,16,15355,64,0,61,0,SILVER_I,14,16,15288,9,0,14,0,BRONZE_I,74,17,18221,100,0,107,0,GOLD_IV,37,15,14009,100,0,107,0,GOLD_IV,37,15,13986,156,0,162,0,PLATINUM_IV,39,14,12679
207,0,219,0,SILVER,III,72,16,15459,62,0,35,0,GOLD_II,37,15,13531,8,0,7,0,SILVER_III,52,15,13200,24,0,13,0,GOLD_IV,81,16,14866,118,0,155,0,SILVER_IV,54,15,14203,121,0,101,0,GOLD_IV,0,17,16697,55,0,43,0,GOLD_III,54,14,11568,40,0,51,0,GOLD_III,31,15,13102,57,0,47,0,SILVER_II,0,13,10845,11,0,13,0,BRONZE_II,18,12,8777
207,0,219,0,SILVER,III,72,17,17222,257,0,254,0,GOLD_IV,71,16,15915,12,0,9,0,SILVER_II,31,17,18140,24,0,13,0,GOLD_IV,81,16,16046,29,0,27,0,SILVER_I,78,15,13716,27,0,16,0,GOLD_IV,6,16,15983,19,0,18,0,SILVER_II,49,15,14451,18,0,19,0,SILVER_I,11,15,14160,20,0,15,0,GOLD_IV,0,15,14394,25,0,27,0,SILVER_II,33,14,12858
241,0,214,0,GOLD_II,6,18,19571,347,0,350,0,GOLD_III,45,16,15186,739,0,707,0,GOLD_IV,16,18,19239,259,0,249,0,GOLD_IV,33,16,15941,198,0,203,0,GOLD_III,25,14,12825,267,0,260,0,GOLD_IV,55,16,15347,6,0,10,0,SILVER,III,30,15,14474,168,0,177,0,GOLD_III,75,16,16127,216,0,198,0,GOLD_III,73,15,13855,30,0,27,0,GOLD_IV,1,14,12061
68,0,74,0,GOLD_IV,82,18,20364,42,0,38,0,GOLD_IV,61,16,14997,575,0,570,0,GOLD_IV,61,17,17111,188,0,195,0,GOLD_III,20,15,13467,219,0,202,0,GOLD_III,28,15,13233,263,0,247,0,GOLD_I,25,16,15058,6,0,10,0,SILVER,III,30,14,12343,477,0,475,0,GOLD_IV,28,16,15208,140,0,151,0,GOLD_III,37,15,14015,30,0,27,0,GOLD_IV,1,14,11729
278,0,295,0,GOLD_III,45,9,6111,103,0,75,0,PLATINUM_II,75,7,3794,17,0,43,0,SILVER_IV,61,9,5760,57,0,58,0,GOLD_III,0,8,4188,248,0,242,0,GOLD_IV,0,7,3724,38,0,45,0,GOLD_IV,79,11,7901,6,0,10,0,SILVER,III,30,9,5046,129,0,113,0,PLATINUM_III,28,11,7566,109,0,101,0,GOLD_II,39,11,7733,30,0,27,0,GOLD_IV,1,9,5237
14,0,20,0,SILVER_II,55,17,18066,12,0,16,0,SILVER_IV,24,18,19014,8,0,9,0,BRONZE_I,79,18,20157,24,0,16,0,GOLD_IV,1,16,15216,20,0,11,0,SILVER_II,21,15,14094,45,0,58,0,SILVER_I,14,17,17743,6,0,10,0,SILVER,III,30,14,12268,46,0,47,0,SILVER_II,28,14,12004,22,0,17,0,GOLD_IV,15,14,12253,182,0,178,0,SILVER_IV,61,15,14555
142,0,129,0,GOLD_I,51,18,19186,18,0,23,0,SILVER_III,63,16,15987,13,0,13,0,SILVER_IV,63,17,17130,13,0,10,0,SILVER_IV,12,15,13947,21,0,20,0,SILVER_II,48,15,13324,40,0,28,0,SILVER_II,65,15,14507,6,0,10,0,SILVER,III,30,15,13995,48,0,51,0,SILVER_I,25,16,15515,182,0,178,0,SILVER_IV,61,15,14391,179,0,174,0,GOLD_IV,82,15,14653
